linkNumber,restaurantName,restaurantRating,openingTime,closingTime,restaurantAddress,latitude,longitude,restaurantImage,city
0,Muhammadi Nehari D Ground,3.8/5 Stars,8:00 AM, 11:30 pm,"D Ground, Near Meezan Bank, Kohinoor chowk Faisalabad-38000, 38000 Faisalabad",31.412012,73.112979,https://images.deliveryhero.io/image/fd-pk/LH/t3pb-hero.jpg,Faisalabad
2,Bangali Lassi & Milk Shake - Clock Tower,3.9/5 Stars,11:00 AM, 11:59 pm,"Near TCS Office Clock Tower Faisalabad, 38000 Faisalabad",31.4187454,73.0791032,https://images.deliveryhero.io/image/fd-pk/LH/h4ck-hero.jpg,Faisalabad
5,Fry & Grill,3.9/5 Stars,2:00 PM, 11:59 pm,"45X- 101  Susan road, Madina town  Near life pharmacy, 38000 Faisalabad",31.42627094,73.12282325,https://images.deliveryhero.io/image/fd-pk/LH/mz4v-hero.jpg,Faisalabad
6,Jalandhar Fish & BBQ,4.1/5 Stars,11:00 AM, 11:59 pm,"P-33 Regal Road, Jhang Bazar Faisalabad, 38000 Faisalabad",31.41687482,73.07636516,https://images.deliveryhero.io/image/fd-pk/LH/w0pp-hero.jpg,Faisalabad
7,Hafiz G Murgh Pulao,4/5 Stars,10:30 AM, 8:00 pm,"Main sargodha road, opp MTM Mills Near Meezan Bank wali gali Faisalabad, 38000 Faisalabad",31.4394815,73.0902256,https://images.deliveryhero.io/image/fd-pk/LH/u3di-hero.jpg,Faisalabad
8,Chashni Cafe - Saddar RWP,4.2/5 Stars,9:00 AM, 10:59 pm,"Shop # 5/2 & 5/2-A, Harding Road, Saddar, Rawalpindi, 46000 Rawalpindi",33.5960371,73.0484051,https://images.deliveryhero.io/image/fd-pk/LH/q788-hero.jpg,Faisalabad
9,Domino's Pizza - G11,4.3/5 Stars,12:00 AM, 11:59 pm,"(Trusted partner), 74004 Islamabad",32.9251389,72.7947778,https://images.deliveryhero.io/image/fd-pk/LH/s8op-hero.jpg,Faisalabad
12,Pizza Lavia,3.7/5 Stars,2:15 PM, 11:59 pm,"Ripple Ln, Block C People's Colony No 1, Faisalabad, Punjab, Pakistan, 38000 Faisalabad",31.4117438,73.1126899,https://images.deliveryhero.io/image/fd-pk/LH/kd2y-hero.jpg,Faisalabad
13,The Merry Kitchen,3.8/5 Stars,3:00 PM, 3:15 pm,"Main Susan Road Ahmed Balochi Street Madina Town Faisalabad, 38000 Faisalabad",31.42602747,73.12041234,https://images.deliveryhero.io/image/fd-pk/LH/ole3-hero.jpg,Faisalabad
14,Kamran Sweets & Bakers,3.9/5 Stars,9:00 AM, 10:00 pm,"Saleemi Chowk, Near Rex city, Jhal Main Satiana Road, 38000 Faisalabad",31.40831158,73.09804033,https://images.deliveryhero.io/image/fd-pk/LH/ld07-hero.jpg,Faisalabad
15,Latte e te - kohinoor,4.2/5 Stars,12:00 PM, 11:59 pm,"Mall 2 Mezzanine Floor P-6 Koh e Noor City Faisalabad, 38000 Faisalabad",31.4130803,73.1161126,https://images.deliveryhero.io/image/fd-pk/LH/lzer-hero.jpg,Faisalabad
16,Badar Bakery - Boulevard Mall,3.8/5 Stars,12:00 PM, 11:00 pm,"2nd floor food court, Bolevard Mall, Canal Road, 38000 Faisalabad",31.4311712,73.1230919,https://images.deliveryhero.io/image/fd-pk/LH/e5fg-hero.jpg,Faisalabad
17,Cock N Bull - Faisalabad,3.4/5 Stars,7:00 PM, 11:59 pm,"PSO Pump D Ground Faisalabad, 38000 Faisalabad",31.4098748,73.10831615,https://images.deliveryhero.io/image/fd-pk/LH/t5rg-hero.jpg,Faisalabad
18,Mian Foods - Dground,3.9/5 Stars,8:00 AM, 9:59 pm,"Opp Chacha Samosa, Dground, Faisalabad, 38000 Faisalabad",31.4079433,73.10774665,https://images.deliveryhero.io/image/fd-pk/LH/v5fl-hero.jpg,Faisalabad
23,Almaida Pizza Garden - (Welcome Chowk),3.9/5 Stars,11:00 AM, 11:59 pm,"Main welcome chowk, bahawalpur., 63100 Bahawalpur",30.199284,71.449798,https://images.deliveryhero.io/image/fd-pk/LH/asxi-hero.jpg,Faisalabad
24,Fayyaz Karachi Biryani,3.9/5 Stars,3:00 PM, 3:15 pm,"Raja Rd, Gulistan Colony, Faisalabad, Punjab, Pakistan, 38000 Faisalabad",31.4411223,73.1034271,https://images.deliveryhero.io/image/fd-pk/LH/cre8-hero.jpg,Faisalabad
25,Peppery Cuisine,4.1/5 Stars,5:30 PM, 11:59 pm,"415-A Tanki Road Peoples Colony No.1 Faisalabad, 38000 Faisalabad",31.414558,73.102013,https://images.deliveryhero.io/image/fd-pk/LH/k3ob-hero.jpg,Faisalabad
26,Spicy Bites,4.5/5 Stars,6:30 PM, 11:59 pm,"Sirsyed Town Branch B-Block, Near 212 Flat, Main Road Sirsyed Town Faisalabad, 38000 Faisalabad",31.40710619,73.0757298,https://images.deliveryhero.io/image/fd-pk/LH/pubd-hero.jpg,Faisalabad
27,God Father - Kohinoor city,4.1/5 Stars,1:30 PM, 11:59 pm,"Near to salt'n Pepper ,Kohinoor City ,Faisalabad, 38000 Faisalabad",31.413151,73.115536,https://images.deliveryhero.io/image/fd-pk/LH/t7er-hero.jpg,Faisalabad
28,Original Chicken Broast,4/5 Stars,2:00 PM, 11:59 pm,"Mall 2 Basement Kohinoor City Faisalabad, 38000 Faisalabad",31.41306915,73.11630013,https://images.deliveryhero.io/image/fd-pk/LH/xn5u-hero.jpg,Faisalabad
