linkNumber,reviewBy,reviewRating,reviewAt,reviewDescription,city
0,Akeel,5/5 Stars,18-06-21,Great,Faisalabad
0,Syeda,3/5 Stars,11-06-21,Very costly,Faisalabad
0,Saatir,1/5 Stars,30-05-21,Hate that waste of money,Faisalabad
0,Hassaan,2/5 Stars,17-05-21,Too spicy,Faisalabad
0,Waqar,1/5 Stars,21-03-21,Was not fresh and taste not good,Faisalabad
0,Ayesha,1/5 Stars,20-03-21,Realy bad tasteless nehari and pethatic taste...realy disappointed by the taste.,Faisalabad
0,Mian,1/5 Stars,13-02-21,Overated,Faisalabad
0,zeeshan,4/5 Stars,28-12-20,Food was shorted. The portion was tiny,Faisalabad
0,Ali,1/5 Stars,02-08-20,Really poor quality food as naan was as much hard as rubber!,Faisalabad
0,Ejaz,3/5 Stars,08-07-20,Less quantity,Faisalabad
0,Ejaz,3/5 Stars,13-06-20,Mujy nali asli nahi lagi baqi sub theek tha,Faisalabad
0,Ahmed,1/5 Stars,12-06-20,My order was cool and doesn’t able to eat the loaf was hard enough,Faisalabad
0,Umar,1/5 Stars,11-06-20,Taste is not good,Faisalabad
0,Rai,1/5 Stars,30-05-20,Very poor quality & taste nihari.,Faisalabad
0,Mohammad,5/5 Stars,18-05-20,Your message service is down your rider doesn't contact properly we have problems in sehrii and iftarii hamain smjh Nh aata apki deal ayegii ya nh ayegii please is par kaam karain apka rider hamain reply hy Nh karta hamain phir do jagah order krna parts hai or ju ajata hai Woh Rakh Kar dosra order camcel Karna parta hai yah hum Nh chahtay please isko thek karain,Faisalabad
0,Adnan,1/5 Stars,10-05-20,The items I ordered were khameri rotis which loose freshness the moment it leaves oven. I have found that this service is not (yet) able to deliver perishable items in good quality. Sepcial heated container could help I guess. Overall foodpanada is a good service,Faisalabad
0,Sufyan,1/5 Stars,30-04-20,"I was order beef nihari and it was Cold, not fresh .. its like 7 din purani ho ..",Faisalabad
0,Ahsan,3/5 Stars,22-04-20,Food quality is not good especially meat in nihari,Faisalabad
0,Asad,1/5 Stars,21-03-20,Very  bad taste  Plz avoid it,Faisalabad
0,Usama,5/5 Stars,15-03-20,"ride cut his tip without my permission and he didnt give me back remaining , food was awesome but packing is nit so good",Faisalabad
2,Bhatti,5/5 Stars,16-03-21,پلیز فاسٹ سروس دیں,Faisalabad
5,Osman,1/5 Stars,11-09-21,Bakwas pizza tha,Faisalabad
5,Zain,5/5 Stars,11-08-21,Awesome food awesome taste,Faisalabad
5,Hamza,4/5 Stars,09-08-21,"I ordered a small kabab pizza, but it was something else. Otherwise taste was nice",Faisalabad
5,HassanBin,1/5 Stars,08-08-21,Pizza cheese khatti thi.....dough bohat hard .....ajeeb he tha waise pizza,Faisalabad
5,Haroon,5/5 Stars,07-08-21,Great food,Faisalabad
5,Usama,1/5 Stars,02-08-21,taken much time to ready the food which was more than 40 minutes 😡,Faisalabad
5,mian,5/5 Stars,25-07-21,Very nice,Faisalabad
5,azeem,1/5 Stars,11-07-21,Food was just so so,Faisalabad
5,Mufarrah,5/5 Stars,03-07-21,"Well order was delivered a bit late but the taste of spin rolls was exceptionally good ! 
Obviously would love to order again.
Much thank you to the chef of Fry & Grill.",Faisalabad
5,Abdul,5/5 Stars,02-07-21,Deserve 5 ⭐️,Faisalabad
5,Gohar,5/5 Stars,25-06-21,"Out class taste
10/10",Faisalabad
5,afnan,5/5 Stars,12-06-21,Yummy,Faisalabad
5,anam,2/5 Stars,09-06-21,Less order received disappointing thing,Faisalabad
5,Gohar,3/5 Stars,03-04-21,Pehlay sy qualtiy thori kam krdi hai,Faisalabad
5,Umar,5/5 Stars,14-03-21,Brilliant services,Faisalabad
5,Gohar,4/5 Stars,06-03-21,Last time bohat juicy tha is dafa bhi bohat acha tha lekin last time sy thori kasar thee,Faisalabad
5,Gohar,5/5 Stars,21-02-21,Best pizza in town..,Faisalabad
5,Sonia,1/5 Stars,01-02-21,Taste waa extremely bad. The chicken piece was worst. It was unable to eat,Faisalabad
6,Muhammad,1/5 Stars,10-04-21,Itni ghatya jalfrezi aaj tak nhi khai.,Faisalabad
6,Zaki,3/5 Stars,03-04-21,Rider was very rude,Faisalabad
6,syeda,3/5 Stars,31-03-21,Peking bht khrab hai roti b bilkul achi nahi peace b thanday ho gy thay,Faisalabad
6,Abdul,4/5 Stars,25-03-21,"Naan purany thay, was not eatable no salad and chutny was with fish",Faisalabad
6,Raj,1/5 Stars,23-03-21,Very bad food,Faisalabad
6,Arham,2/5 Stars,21-03-21,Raw tasteless chekin.too much salty naan,Faisalabad
6,Ameer,5/5 Stars,20-03-21,Fish deal b adb kren,Faisalabad
6,saad,1/5 Stars,12-03-21,B.c.  food deliver he nhi kia kisi na,Faisalabad
6,Muhammad,1/5 Stars,11-03-21,اتناگھٹیاکھانازندگی میں نہیں کھایا۔ٹھنڈااورفضول,Faisalabad
6,Atif,1/5 Stars,10-03-21,Very poor quality of chatni.even a bad health less quality,Faisalabad
6,Ali,2/5 Stars,07-03-21,Roti basi thi,Faisalabad
6,Zarshi,4/5 Stars,06-03-21,Fish was under cooked,Faisalabad
6,Muhammad,1/5 Stars,04-03-21,Worst food ever ordered on foodpanda. Tasteless food.,Faisalabad
6,Ûjãlâ,5/5 Stars,02-03-21,Done,Faisalabad
6,Faisal,1/5 Stars,21-02-21,food ki quality  boht poor thy .,Faisalabad
6,Imran,1/5 Stars,20-02-21,Never eat from jalandhar,Faisalabad
6,Abdul,1/5 Stars,20-02-21,"It was not grilled fish which was ordered, they cheated.",Faisalabad
6,Naeem,5/5 Stars,15-02-21,you should increade the quantity of sweet chatni,Faisalabad
6,ABDUL,5/5 Stars,13-02-21,Awesome fish,Faisalabad
6,Usama,5/5 Stars,12-02-21,Op,Faisalabad
6,Zarshi,3/5 Stars,11-02-21,Fish was too salty and under cooked.,Faisalabad
6,Sheraz,5/5 Stars,10-02-21,"Too good n too early .....

rider was owsum",Faisalabad
6,Waqas,5/5 Stars,07-02-21,Rs over charge,Faisalabad
6,Shahzaib,1/5 Stars,07-02-21,Fish was smelly and not fresh. And totally waste of money. Very disappointing really,Faisalabad
6,Salman,1/5 Stars,07-02-21,Bekar r taste less,Faisalabad
6,Eram,1/5 Stars,05-02-21,Food taste is hopeless fish even grill too.next time will not go for jhalander fish,Faisalabad
6,Umar,2/5 Stars,03-02-21,Order received after 40 min and food is too cold,Faisalabad
6,Muhammad,5/5 Stars,02-02-21,Exceptionally good food,Faisalabad
6,Abdullah,5/5 Stars,29-01-21,Good food  good taste,Faisalabad
6,Muhammad,1/5 Stars,29-01-21,Piece jaly howe thy bakwas,Faisalabad
6,Farhan,1/5 Stars,17-01-21,It was not full 1 kg it was 750grams,Faisalabad
6,Faisal,1/5 Stars,14-01-21,Souses b kam hai aur pices b achey ni thay.complain b di hai reply ni aya,Faisalabad
7,Junaid,1/5 Stars,02-06-21,I ordered full biyani but they send sada biryani and charged full money. 😡😡😡,Faisalabad
7,Zain,5/5 Stars,02-06-21,N,Faisalabad
7,Muhammad,1/5 Stars,25-05-21,Poor food,Faisalabad
7,Ammar,1/5 Stars,20-04-21,Ghatiya or basi khana shame on you sharam nai ati tum logo ko ramzan main dhoka kar rahy ho,Faisalabad
7,Muhammad,2/5 Stars,02-04-21,Timming is too much late,Faisalabad
7,Ali,1/5 Stars,17-03-21,Taste was not gud very bad experience,Faisalabad
7,Tayyab,1/5 Stars,13-03-21,Bakwas taste and service ghtiya tareeen,Faisalabad
7,Talha,1/5 Stars,05-03-21,Taste is not good,Faisalabad
7,Muhammad,5/5 Stars,05-03-21,Great tate,Faisalabad
7,M,5/5 Stars,04-03-21,Good Taste 👍,Faisalabad
7,Mian,1/5 Stars,26-11-20,Not good stuff. Rice buhat sakht thay aur chicken ka piece kaala tha. Tasteless,Faisalabad
7,Shahzad,5/5 Stars,18-11-20,Very hygenic,Faisalabad
7,yousaf,1/5 Stars,10-11-20,Food was yukh..never ever order from this place,Faisalabad
7,M,3/5 Stars,14-07-20,No spoon no plate🙄,Faisalabad
7,Zain,5/5 Stars,06-07-20,Disposable spoon add krein parcel mein,Faisalabad
7,Nouman,4/5 Stars,27-02-20,Nice taste,Faisalabad
