linkNumber,reviewBy,reviewRating,reviewAt,reviewDescription,city
2,ha,1/5 Stars,01-09-21,"We ordered 4 nutella sundae jars, and as opposed to what was shown there was no jar or nutella in it. And they said they ran out of jars lol. For 780rs it was a pretty bad experience",Islamabad
2,Nadia,1/5 Stars,17-08-21,the creps i ordered were not fresh you could hardly cut it and eat it very bad exp,Islamabad
2,Abubakar,3/5 Stars,10-08-21,Nutella Cheesecake did not have nutella. Just simple cheese cake. Nutella donut had less quantity of nutella. Fudge cake was excellent,Islamabad
2,Ameer,5/5 Stars,10-08-21,The jar I ordered was empty in the middle. I complained too Nicola and they were able to satisfyingly to resolve the issue,Islamabad
2,Sarah,2/5 Stars,08-08-21,We ordered cocoloco but got caramel instead. The coffee shake was too sweet,Islamabad
2,Muhammad,1/5 Stars,07-08-21,I ordered belgian chocolate and they gave me vanilla,Islamabad
2,Syeda,5/5 Stars,03-08-21,Yummmiest waffle in town 😋,Islamabad
2,Amna,2/5 Stars,26-07-21,Very bad,Islamabad
2,Musaub,1/5 Stars,26-07-21,Extremely small serving.,Islamabad
2,Ameer,5/5 Stars,17-06-21,Average,Islamabad
2,Omar,4/5 Stars,17-06-21,The cheesecakes crust wasn’t fresh and had a bit of a weird taste to it. The waffles were pretty good,Islamabad
2,Amer,3/5 Stars,12-06-21,Taste was not up to the mark. I was disappointed,Islamabad
2,Emmad,1/5 Stars,04-05-21,"Extremely horrid smell and taste of the ordered waffle. The bananas were ripped so bad that the smell made it even hard try to eat. 
After the having the first bite it went straight to the bin.",Islamabad
2,Iffrah,5/5 Stars,03-04-21,Received wrong order and the waffle itself was sour,Islamabad
2,Bur,2/5 Stars,27-03-21,Very expensive,Islamabad
2,Abubakar,3/5 Stars,22-03-21,They did not even have a paper bag. Also cheese cake slice size has been reduced.,Islamabad
2,Musarrat,2/5 Stars,08-03-21,Very big big price,Islamabad
2,Shaheryar,1/5 Stars,03-01-21,Nutella Jar was really good but their wwy of packaging was not that good tbh. They took really long to complete the order although rider managed to bring on time. They didn't gave disposal spoons upon complaining foodpanda replied that disposable spoons are complimentary. Like very nice and hygenic way of delivering food.,Islamabad
2,Amjad,1/5 Stars,19-12-20,Serving was very less in amount..disappointing...,Islamabad
2,Abubakar,5/5 Stars,13-10-20,Everything was awesone. But Package should be sealed by tape atleast.,Islamabad
2,Umar,1/5 Stars,02-10-20,"Not given the topings i ordered for and instead of calling me they put stuff on their own which i didnt like so the food was a waste. Please refrain from making these mistakes, not good for the corporation.",Islamabad
2,Aamna,2/5 Stars,10-08-20,Very disappointed. Didn’t taste nice nor was the texture good,Islamabad
2,Khunsha,5/5 Stars,23-07-20,"I ordered fudge brownies with a scoop of icecream, they sent 2 scoops of 2 different ice creams instead❤ also, the brownie is very tasty💯",Islamabad
2,Ayesha,1/5 Stars,03-07-20,I ordered a lava cake and when i started to eat there was no lava in the cake. Kinda disappointed,Islamabad
2,Komal,1/5 Stars,28-06-20,There was piecies of plastic in my icecream!,Islamabad
2,Nabeel,4/5 Stars,23-05-20,Have given 4 starts because the food was good but There is always something missing or wrong with the order. Don’t know if it’s the restaurant or the riders that don’t check properly but considering to stop using foodpanda now!,Islamabad
2,Zubair,1/5 Stars,18-05-20,"Very less Nutella, wrong toppings",Islamabad
2,Zubair,5/5 Stars,28-04-20,Order came without a bag,Islamabad
2,Nea,4/5 Stars,17-04-20,The waffle was dry,Islamabad
