linkNumber,reviewBy,reviewRating,reviewAt,reviewDescription,city
0,Sabaha,5/5 Stars,03-09-21,Testy & Quickly Prepare,Karachi
3,Noor,4/5 Stars,20-07-21,Cheese Zara thi fajita sicilian me or chicken kam tha taste average tha bs baki packaging and timeline  were good,Karachi
3,Komal,1/5 Stars,22-05-21,"SPOILER WARNING! do not waste your money! This was the worst thing I have eaten in my whole life! I can't call it a Pizza. I ordered cheesy pizza and it was just bread and low quality cheeze on it. No sauses no meat, no other topping, nothing. I wasted my money on them.",Karachi
3,sony,5/5 Stars,13-05-21,"bht achi service hai inki 
or pizza b bht testy",Karachi
3,Noor,5/5 Stars,06-05-21,I ordered white pasta and pizza fries..both were delicious..packaging Is not so good but taste is acceptable and good...,Karachi
5,Tasawar,5/5 Stars,01-09-21,Yes,Karachi
5,Hina,2/5 Stars,23-08-21,"Biryani is so bad,soo much oily and spicy,rice are not well cooked",Karachi
5,Hamza,1/5 Stars,21-08-21,Worst food,Karachi
7,Shariq,5/5 Stars,03-09-21,It was good experience with all time,Karachi
7,Saima,1/5 Stars,25-08-21,Too much oily and sugar is only in center,Karachi
7,hira,2/5 Stars,23-08-21,"The order did not come as per expectation, a dish of onion and chillies were having only onions no quality food at all and also not pocket friendly in 170 rs we only ate pyaz. Totally disappointing",Karachi
7,Raheel,2/5 Stars,22-08-21,Quality is good but quantity is lesser than before,Karachi
7,Farhan,5/5 Stars,22-08-21,"Very delicious, quantity was also good.",Karachi
7,Syed,3/5 Stars,14-08-21,پراٹھا سخت ہو رہا تھا۔ انڈا پراٹھا میں انڈا کم تھا۔,Karachi
7,abiha,5/5 Stars,13-08-21,Verynice,Karachi
7,Abiha,4/5 Stars,12-08-21,Aloo paratha nd kabab tikki is good but lachedaar paratha is hard,Karachi
7,Talha,5/5 Stars,12-08-21,"Yummiest breakfast I've ever had via foodpanda. Delicious, hygienic and fresh.  Ordered aalo kabab, aalo bhujya and parathas. May Allah give more te barkat in your business aamen.",Karachi
7,Tehniat,5/5 Stars,08-08-21,Food is delicious but cook more,Karachi
7,amirNJ,5/5 Stars,29-07-21,Best,Karachi
7,Muhammad,5/5 Stars,26-07-21,"Me pichle saal agra gaya tha india, agra taj mehal k back side per 1 food street thi, wahan 1 dhaba style hotel tha Anarkali hotel. Wahan jo tea pea thi us ka jo tast tha wo me kabhi nahi bhola, lekin aaj aap ki tea pee ker mujhe woh bhi bhol gayi, jaado he sach me jaado. 50 rupee me agra ki tea se bhi behter, bhai apko international Laval per apni tea sall kerni chahiye. Maza aagaya. Thanks.",Karachi
7,Nisa,2/5 Stars,22-07-21,Packaging was so poor,Karachi
7,Shazz,3/5 Stars,18-07-21,Taste was good but salt bht ziada tha,Karachi
7,Faisal,1/5 Stars,17-07-21,Not what it says.. very average paratha,Karachi
7,amirNJ,5/5 Stars,13-07-21,Awesome,Karachi
7,Syed,1/5 Stars,11-07-21,"Aalo paratha wasn't have enough filling,
Piaz mirch salan was too bad and different from photo",Karachi
7,Imran,2/5 Stars,09-07-21,Alu itnay sakt sahi pakay nahi plz zara time laga Len laikin food quality plz dekhain pait main dard hgya kha kar,Karachi
7,Faisal,4/5 Stars,09-07-21,Was delivered late,Karachi
7,Noman,5/5 Stars,07-07-21,Nice,Karachi
7,arbish,5/5 Stars,02-07-21,best,Karachi
7,Jamal,5/5 Stars,01-07-21,excellent food,Karachi
7,Amir,5/5 Stars,27-06-21,Quantity of tea is very less,Karachi
7,Hafsa,1/5 Stars,26-06-21,Mircho ka salan ....ewwwww😶,Karachi
7,Maha,5/5 Stars,25-06-21,"Taste 👍
Quality and quantity 💯
But prices are high 👎",Karachi
7,Shazil,5/5 Stars,09-06-21,Mashallah bot outclass tha,Karachi
7,kamran,5/5 Stars,08-06-21,Amazing food. 👍 jazakillah,Karachi
7,Syeda,3/5 Stars,07-06-21,Parhathy ma stuff normal tha aur kabab ma sy egg ki smell arahi thee kafi,Karachi
7,Kamran,4/5 Stars,07-06-21,Parathay thore kache thay,Karachi
7,AbdulRahman,5/5 Stars,03-06-21,Excellent,Karachi
7,AbdulRahman,5/5 Stars,02-06-21,Excellent,Karachi
7,Kamran,5/5 Stars,31-05-21,Green chilli omlate halka tha,Karachi
7,AbdulRahman,5/5 Stars,28-05-21,It was good,Karachi
7,AbdulRahman,5/5 Stars,27-05-21,It was good,Karachi
7,Moon,3/5 Stars,23-05-21,"Parathas were very good
Also bhujya was OK
Tea was very pathetic",Karachi
7,Ahsan,4/5 Stars,22-05-21,Better to give also para tha with chai deals,Karachi
7,zahid,2/5 Stars,18-05-21,😔😔,Karachi
7,Shahmeer,1/5 Stars,12-05-21,The food is good but rider is tu batamiz plz rider change karien otherwise I will case you,Karachi
7,MuhammadAli,1/5 Stars,11-05-21,Total worst food and tea,Karachi
7,Ahmed,5/5 Stars,05-05-21,JAZAKALLAH for yummy and hygienic food n many prayers for you n food panda as well,Karachi
7,Naina,3/5 Stars,02-05-21,I ordered aloo paratha but there was only turmeric in the name of spices,Karachi
11,Asma,5/5 Stars,11-09-21,Good 👍,Karachi
11,Millie,1/5 Stars,06-09-21,Very late delivery so disappointed,Karachi
11,Amin,1/5 Stars,30-08-21,Bakwas bryani tasteless 3rd class quality,Karachi
13,Alvina,5/5 Stars,22-06-21,Good packaging and rolls owsam,Karachi
13,MuhammadAli,5/5 Stars,18-06-21,Owsum,Karachi
13,Iblal,5/5 Stars,18-06-21,Extremely amazing food highly recommended,Karachi
13,Isma,2/5 Stars,16-06-21,Aloo samosa had no taste.,Karachi
13,Saaim,3/5 Stars,14-06-21,"Bhai agar discount dia huwa hi hai to drinks to thandi de do, boiled pepsi peene ka shauq nahi hai jaani",Karachi
13,Murtaza,5/5 Stars,27-05-21,Outstanding food ..,Karachi
13,Kanwal,2/5 Stars,21-05-21,"I ordered nuggets and chicken wontons from this place. Wontons were so flat and the filling was also so less. Taste was not  good. I wasted my money! 'But nuggets were tasty and good. 
Please improve the quality of wontons.",Karachi
13,Noman,4/5 Stars,08-05-21,Last time jb order kiya the tou qeema samosa ki jaga aloo samosa mila tha ab sahi receive,Karachi
13,Sumaira,1/5 Stars,04-05-21,Chesse wonton order kia hy piyaz bhar Kar day di na chesse tha na chicken tha taste  less than,Karachi
13,Iqra,3/5 Stars,02-05-21,Quantity of chicken and cheese is very least,Karachi
13,MuhammadAli,4/5 Stars,02-05-21,I guess storage temperature should be change..because nuggest were bit smelly,Karachi
13,Humza,3/5 Stars,30-04-21,I ordered chicken samosa and what i got was veg samosa,Karachi
13,Ambreen,1/5 Stars,30-04-21,Taste was so bad,Karachi
13,Ali,5/5 Stars,28-04-21,Best.recommended,Karachi
13,Murtaza,5/5 Stars,27-04-21,Highly recommended,Karachi
13,Muhammad,5/5 Stars,26-04-21,Ache samose the,Karachi
13,Sara,3/5 Stars,24-04-21,"Ordered one bite samosa. It was good. Will order again , hopefully",Karachi
13,Muhammad,5/5 Stars,23-04-21,Aloo samosa was very tasty likin ap half dozen samosas ka bhi option nikale,Karachi
13,Mohammed,1/5 Stars,22-04-21,"Loru khali wontons pakradiye....
Kaash ek lanat ka bhi option hota🤬🤬
Paisay thoray ziyada Le lo magar cheez tou achi do",Karachi
13,Shoaib,5/5 Stars,22-04-21,"I Ordered Roll and One Bite Samosa
Like it 👍",Karachi
13,Roha,5/5 Stars,21-04-21,Tasty 👍,Karachi
13,Hina,5/5 Stars,21-04-21,Very tasty chicken mint roll and wonton,Karachi
13,Furqan,5/5 Stars,19-04-21,"Good taste , fresh and very juicey",Karachi
13,SÝëdŽõHåíß,5/5 Stars,19-04-21,Fair as per the price... Mint roll and Qeema samosa was really tasteful... will order more soon ❤️,Karachi
13,Omer,4/5 Stars,18-04-21,"Please make sure the frozen item we buy, do not stick together, as it becomes a hassle to take them all out individually.",Karachi
13,Atif,1/5 Stars,17-04-21,Ache nhi thy samose,Karachi
13,Osama,3/5 Stars,14-04-21,behtarein mint roll and qeema ka samosa tha. But meine chicken cheese balls mangae the not samosa !!,Karachi
13,Rizvana,5/5 Stars,10-04-21,Best as always 👍,Karachi
13,Tuba,1/5 Stars,07-04-21,The samosas they send are rotten and smelly,Karachi
13,Duaa,5/5 Stars,17-03-21,Quantity bhot kam hai paise bhot zyada,Karachi
13,UrRehman,5/5 Stars,23-02-21,"Wowww for items ...u did a good job  ,everything is perfect taste and size ...keep it up",Karachi
13,Amna,5/5 Stars,14-01-21,Bohat achi deals thi phir se karen plz bohat testy yummy chizen best of luck,Karachi
13,Muhammad,5/5 Stars,12-01-21,nice 👍 keep it up,Karachi
13,Aaisha,5/5 Stars,09-01-21,Abhi tak khaya nahi ferozen item hai aik aik inch k samosy hai 🙄,Karachi
13,Aleeza,5/5 Stars,04-01-21,Ordered 1 dozen chicken nuggets. So fresh and tasty!,Karachi
13,Rizvana,5/5 Stars,25-12-20,👍,Karachi
13,Rizvana,5/5 Stars,22-12-20,👍👍,Karachi
13,Nida,5/5 Stars,21-12-20,havent taste it yet but i am rating you 5 stars - hopefully i wont regret,Karachi
13,Sumair,3/5 Stars,13-12-20,Small in size and just ok,Karachi
13,Warda,3/5 Stars,13-12-20,Cheese jab dalni nai hoti wontons ma to na liyan kindly...or mixture b itni kanjoosi  sa dala ha,Karachi
15,Amir,5/5 Stars,27-06-21,Niceeee,Karachi
15,Filza,4/5 Stars,02-06-21,Junior burger,Karachi
15,Ahsan,3/5 Stars,01-06-21,Good,Karachi
15,Sana,1/5 Stars,30-05-21,Food was uncooked,Karachi
17,Sumaira,1/5 Stars,11-09-21,Very bad and smelly porries using very old oil to fry,Karachi
17,Wadia,4/5 Stars,10-09-21,Puri was tasty but choolay sahi nahi galey hoey the or aalo ki tarkari mei sey halki si smell thi,Karachi
17,Yumna,4/5 Stars,10-09-21,Bakaaaaaaaaaaar,Karachi
17,Saima,4/5 Stars,05-09-21,Price is high,Karachi
17,Anoosha,5/5 Stars,29-08-21,Awesome And Delicious,Karachi
17,Prince,1/5 Stars,26-08-21,The quility of the puris i ordered was not good and the cholla and tarkari was also not good at all. The price is very high according to the quality. I wont order from them from now on..,Karachi
17,humo,5/5 Stars,08-08-21,Yummy or bhot acha taste tha in sha Allah again oder kre gy,Karachi
17,Amna,1/5 Stars,30-07-21,Hopeless,Karachi
17,MuhammadZubair,5/5 Stars,25-07-21,Delicious as always,Karachi
17,Diya,2/5 Stars,21-07-21,Mene rusk b order kia tha dia he nahi 😐,Karachi
17,Faiz,5/5 Stars,15-07-21,Wonderful puri,Karachi
17,taha,1/5 Stars,11-07-21,Pathetic tase. Halwa was not cooked properly. Tarkari has no salt in it,Karachi
17,Hina,1/5 Stars,10-07-21,Meetha chewra order kia tha moti nimko bhaij Di very bad,Karachi
17,Ayesha,1/5 Stars,06-07-21,"Bad experience
Tasteless parties",Karachi
17,Jalil,3/5 Stars,27-06-21,Achi hoti ha halwa pori Allahpak berkat de apk kam ma,Karachi
17,Faiz,5/5 Stars,27-06-21,"One of the beat halwa puri in town do order from here. The puri, aloo, channa everything was fresh and hot. Totally satisfied",Karachi
17,Zeeshan,2/5 Stars,27-06-21,Pls make Puri with less oil,Karachi
17,Rizwan,4/5 Stars,26-06-21,Good,Karachi
17,Sayeed,4/5 Stars,23-06-21,Rolls was not good,Karachi
17,Saud,1/5 Stars,18-06-21,Poor food serve,Karachi
17,Alina,2/5 Stars,16-06-21,Alu ki tarkari was mising..,Karachi
17,Abdul,5/5 Stars,16-06-21,Halwa km tha,Karachi
17,Abdul,4/5 Stars,15-06-21,May hamesha yahi sy order kerta hoo lekin isdafa salan ki quantity km thi,Karachi
17,Maha,1/5 Stars,14-06-21,"Good taste
Perfect quality and quantity",Karachi
17,Yumna,2/5 Stars,12-06-21,No taste  bekaar chips oil hi ganda tha frying wala,Karachi
17,Abdul,5/5 Stars,09-06-21,Best halwa puri,Karachi
17,Taimoor,5/5 Stars,06-06-21,Best,Karachi
17,Junaid,1/5 Stars,04-06-21,Very bad,Karachi
17,Junaid,5/5 Stars,29-05-21,Out standing,Karachi
17,alishba,5/5 Stars,27-05-21,Bhot zabardast,Karachi
17,Ayesha,3/5 Stars,26-05-21,Chips baasi thy .. roll was good ..,Karachi
17,Mrs,1/5 Stars,21-05-21,Nimko ki quantiti boht km ti baqi items thik thy,Karachi
17,Faizan,5/5 Stars,20-05-21,"Good taste, magar halwa nhi Dala😡jb pkg main mention kartay ho to plz Aesa mat karen",Karachi
17,Mahek,4/5 Stars,17-05-21,"The quantity was extremely poor. The curry served with 4 puris was extremely less. However, the taste was phenomenal and extremely tasty.",Karachi
17,Amara,1/5 Stars,16-05-21,I ordered halwa puri...which delivered me after 2 hours and tarkari was so spicy that no one could eat it,Karachi
17,Wadia,5/5 Stars,07-04-21,"Halwa puri was tasty 
Aise hi apna taste barkarar rakhen 
Highly recommended 👍👍",Karachi
17,MuhammadZubair,5/5 Stars,04-04-21,"Taste, packing everything perfect but rider always late to deliver 😑",Karachi
17,Safia,3/5 Stars,03-04-21,Moog ki daal ki quantity bohat kam thi plz don't buy bakery item,Karachi
17,MuhammadOsama,5/5 Stars,28-03-21,Best as always,Karachi
17,Muzaffar,5/5 Stars,26-03-21,Best,Karachi
17,Naveera,5/5 Stars,25-03-21,"Highly recommend!! 
Perfect taste👍",Karachi
17,Nuzhat,1/5 Stars,25-03-21,Basi thin andarsy or roll,Karachi
17,Hashim,5/5 Stars,23-03-21,Delicious halwa puri👍,Karachi
19,Kashif,1/5 Stars,17-03-21,I didn't receive my order but it's mark delivered,Karachi
19,Tahir,2/5 Stars,22-02-21,Beef or chicken dono Sai sa bake ni hoi v the. Kachay tha..,Karachi
19,Urooj,5/5 Stars,13-01-21,Taste❤️,Karachi
19,Tooba,2/5 Stars,08-11-20,I got my food in 1 hour instead of 25 min. Its too late. Also rider didn't know the area he reached after too much guiding him.,Karachi
21,Manal,1/5 Stars,21-05-21,To much masala,Karachi
21,Haris,1/5 Stars,21-05-21,ڈیڑھ گھنٹہ لیٹ پہنچا ہے رائڈر اور بریانی بھی بس ایورج ہی تھی,Karachi
21,Syeda,2/5 Stars,02-05-21,Biryani them this par quantity bohat kam  thi packing to thi he ni supper ma biryani bhaj di,Karachi
21,Fazla,1/5 Stars,27-04-21,Tasteless,Karachi
21,Fazeela,3/5 Stars,21-04-21,not fresh,Karachi
21,Hanzu,4/5 Stars,29-03-21,Detail for spicy or non spicy,Karachi
21,Nida,4/5 Stars,25-03-21,Taste was awesum but contity too shot,Karachi
21,Samia,5/5 Stars,19-03-21,Tru to give spoons with the order next time,Karachi
21,Sajid,1/5 Stars,14-03-21,3rd class oily biryani.,Karachi
21,faiza,5/5 Stars,12-03-21,Good,Karachi
