linkNumber,restaurantName,restaurantRating,openingTime,closingTime,restaurantAddress,latitude,longitude,restaurantImage,city
0,Cray Wings,4.3/5 Stars,12:00 PM, 11:00 pm,"28/A, Block S, Gulberg 2, 54000 Lahore",31.5203039,74.3574346,https://images.deliveryhero.io/image/fd-pk/LH/ocn7-hero.jpg,Lahore
1,Junoon Restaurant - Gulberg,3/5 Stars,12:00 PM, 11:59 pm,"Plot-1, Block C1 C-1 Gulberg III, Lahore, 54000 Lahore",31.5171831,74.3511044,https://images.deliveryhero.io/image/fd-pk/LH/wfte-hero.jpg,Lahore
2,Wrap Kitchen,4.4/5 Stars,9:00 AM, 11:59 pm,"House no. E-60/5 (2nd floor) Street no. 2, Shaheen Colony, walton road, Lahore Cantt., 54782 Lahore",31.4873889,74.3635278,https://images.deliveryhero.io/image/fd-pk/LH/xbfh-hero.jpg,Lahore
3,Mommy's kitchen,4.1/5 Stars,11:00 AM, 11:59 pm,"Shaeen Colony nashter street Lahore Cantt Munawwar general store., 54000 Lahore",31.4883066,74.36514155,https://images.deliveryhero.io/image/fd-pk/LH/c6yr-hero.jpg,Lahore
4,Capri Food Point,4/5 Stars,10:30 AM, 3:00 pm,"House No. E-73/2, Street No. 1, Gulbahar Colony Lahore Cantt, 35461 Lahore",31.4975833,74.3597778,https://images.deliveryhero.io/image/fd-pk/LH/ahph-hero.jpg,Lahore
5,Kabbabish,3.9/5 Stars,9:00 AM, 11:59 pm,"E 9A Ali view park near bedian road Lahore cantt, 54000 Lahore",31.495603,74.39994505,https://images.deliveryhero.io/image/fd-pk/LH/r2vt-hero.jpg,Lahore
6,Second Scoop,3.6/5 Stars,2:00 PM, 11:30 pm,"Street 12, Iqbal Park, Lahore, 54000 Lahore",31.486916,74.381139,https://images.deliveryhero.io/image/fd-pk/LH/w3zo-hero.jpg,Lahore
7,Ahmad Dahi Bhalla & Fast Food,4/5 Stars,2:00 PM, 11:59 pm,"Link Tufail Road, RA Bazaar, near Pakistan Post RA Bazaar, R A Bazaar Cantt, Lahore, 54000 Lahore",31.50523541,74.38243992,https://images.deliveryhero.io/image/fd-pk/LH/k1rv-hero.jpg,Lahore
8,Farzanas Kitchenette,3.9/5 Stars,2:00 PM, 11:59 pm,"House no 1393 street no 16 Makkah colony Gulberg 3 lahore.near games point, 54000 Lahore",31.49516045,74.35646835,https://images.deliveryhero.io/image/fd-pk/LH/r0kt-hero.jpg,Lahore
9,Tasty Yakhni Pulao & Koozi Haleem,3.9/5 Stars,9:00 AM, 11:00 pm,"3 Gulberg Rd, Millat Colony, Lahore, Punjab, 54000 Lahore",31.5276744,74.3600144,https://images.deliveryhero.io/image/fd-pk/LH/nshv-hero.jpg,Lahore
10,FOODERA,3.5/5 Stars,4:00 PM, 11:59 pm,"Street Number 10, Akram Park Block A 2 Gulberg III, Lahore, Punjab 54000, 54000 Lahore",31.5125494,74.356375,https://images.deliveryhero.io/image/fd-pk/LH/rb0e-hero.jpg,Lahore
11,Pepe's Piri Piri - F-6,4.2/5 Stars,12:00 PM, 11:59 pm,"Shop 8B, super market, F-6 Markaz F 6 Markaz F-6, Islamabad, 44000 Islamabad",33.7299347,73.0778035,https://images.deliveryhero.io/image/fd-pk/LH/e3yl-hero.jpg,Lahore
12,Biryani Jaani,3.8/5 Stars,12:00 PM, 11:30 pm,"Address: 28/A, Block S, Gulberg 2, Lahore, 54000 Lahore",31.5203039,74.3574346,https://images.deliveryhero.io/image/fd-pk/LH/vrq0-hero.jpg,Lahore
13,Tasty Takes,4.1/5 Stars,12:00 PM, 10:00 pm,"Liberty Market Gulberg III, Lahore, Punjab, 54000 Lahore",31.5105672,74.346008,https://images.deliveryhero.io/image/fd-pk/LH/q0ed-hero.jpg,Lahore
14,AL-AHMED DAHI BHALAY,3.7/5 Stars,12:00 PM, 11:59 pm,"Street Number 7, Zaman Colony, Lahore, Punjab, 54000 Lahore",31.49510379,74.36971218,https://images.deliveryhero.io/image/fd-pk/LH/zndj-hero.jpg,Lahore
15,Potato Fatato,3/5 Stars,5:30 PM, 11:59 pm,"Outside Best Buy Store, Cavalry Ground, 54000 Lahore",31.49910215,74.3670658,https://images.deliveryhero.io/image/fd-pk/LH/silg-hero.jpg,Lahore
16,Lasani Tikka,4.3/5 Stars,6:00 PM, 11:59 pm,"Shop No 62-A2 Rizwan Masjid Gala Market Gulberg 3, 54000 Lahore",31.512379,74.354772,https://images.deliveryhero.io/image/fd-pk/LH/v1zk-hero.jpg,Lahore
17,Hafiz BBQ & Biryani,4.1/5 Stars,6:00 PM, 11:59 pm,"ghous e azam bazar gulberg 2, 54000 Lahore",31.5276569,74.3599941,https://images.deliveryhero.io/image/fd-pk/LH/i7zr-hero.jpg,Lahore
18,Royal Kitchen,4.2/5 Stars,10:00 AM, 11:59 pm,"house # E154 oblick # 7A steer #07 Yasrab Colony bank stop Walton Road Lahore Cantt, 54000 Lahore",31.48781135,74.3694234,https://images.deliveryhero.io/image/fd-pk/LH/vrdx-hero.jpg,Lahore
19,Food Land,3.5/5 Stars,7:00 PM, 11:59 pm,"Walton Road Near Defence Mor Madina Milk shop, 54000 Lahore",31.493927,74.372824,https://images.deliveryhero.io/image/fd-pk/LH/n2rm-hero.jpg,Lahore
