linkNumber,reviewBy,reviewRating,reviewAt,reviewDescription,city
0,Shahbaaz,3/5 Stars,19-07-21,Burger was all over the place.. hardly any chicken,Lahore
0,Shamroon,5/5 Stars,19-06-21,They don’t provide ketchup and sauces.,Lahore
0,Shafi,1/5 Stars,11-06-21,I didn’t get one item I ordered,Lahore
0,Ahmed,5/5 Stars,08-06-21,Amazing sauce and great fries I recomend the house fries they were fire,Lahore
2,Nadir,1/5 Stars,12-09-21,Worst Experience. Oily Burger and Poor quality.,Lahore
2,Tanveer,3/5 Stars,09-09-21,"It was OK 
I was expecting more",Lahore
2,Aqeel,5/5 Stars,07-09-21,Awesome 👍,Lahore
2,Faiza,5/5 Stars,05-09-21,Fresh & hygienic. Love to order again. Recmanded,Lahore
2,Ashraf,5/5 Stars,28-08-21,Fabulous packing as well as taste. Good experience. Recommend,Lahore
2,Aqeel,5/5 Stars,27-08-21,Awesome. I never expected that type of quality from a home kitchen. Zinger burger qality is wonderful even better than kfc. I love that and of course order again & again.. Keep it up.,Lahore
2,Mohammad,5/5 Stars,27-08-21,"Tremendous, Remarkable, Fabulous, incredible, marvelous. About everything quality, quantity, packing.",Lahore
2,Faaiza,5/5 Stars,26-08-21,I have ordered from here a bunch of time and it has been a very good experience every time. Keep up the good work.,Lahore
2,Mohammad,5/5 Stars,24-08-21,"Evertime when I order within kitchen. I always satisfied with quality, quantity and ofcourse packing. Highly recommended❤️❤️❤️",Lahore
2,Ali,5/5 Stars,22-08-21,"It was so awesome. I liked the packing freshness 
The taste of lemo pani was very awesomee very awesomee",Lahore
2,Tayyaba,5/5 Stars,22-08-21,Good,Lahore
2,UsmanMehmood,4/5 Stars,06-08-21,Fine,Lahore
2,Bilal,3/5 Stars,06-08-21,Ordered anda tikki and chapati. Chapati was amazing. Anda tikki was a bit spicy. You should provide it with podina raita as well to balance the spice,Lahore
2,Maheen,4/5 Stars,05-08-21,"Nicely packaged food , great quality",Lahore
2,Mahi,5/5 Stars,02-08-21,"Amazing, fantastic... Fresh ang hygenic... Good in taste... Packaging was appreciatable.
Highly recommended",Lahore
2,Coal,4/5 Stars,02-08-21,Mayo Sandwich was ok with too much mayo and definitely overpriced,Lahore
2,Asfandyar,5/5 Stars,16-07-21,Was not expecting this great quality from a home based kitchen.,Lahore
2,Muhammad,5/5 Stars,15-07-21,"Food was great, must appreciated.",Lahore
2,Mohammad,5/5 Stars,07-07-21,This is the amazing experience with the kitchen. Excellent taste with excellent packing. A shawarma full with chicken cubes. Highly recommended this kitchen.,Lahore
2,Hamza,5/5 Stars,07-07-21,Pretty good,Lahore
2,Aaisha,5/5 Stars,07-07-21,Seekh kabab were too soft and tasty alongwith the mint chutney served complimentary,Lahore
2,Aleaf,1/5 Stars,07-07-21,"Shami burger was pathetic. Masala fries were soggy, raw and dripping with smelly oil. I guess this kitchen bought used oil from market therefore offering discounts. Avoid at all costs.",Lahore
3,Umair,1/5 Stars,12-09-21,Packing was very very veryyyyyy bad,Lahore
3,Umair,5/5 Stars,07-09-21,The best home made meals,Lahore
3,Imran,2/5 Stars,06-09-21,"salad as advertised was not included. And considering that for PKR 90-`100 u can get much better quality Chapal kababs it was a bit over priced as kababs were of lesser quality, taste & size.",Lahore
3,Nazish,4/5 Stars,05-09-21,Arvi sabzi was very good,Lahore
3,Shahnaaz,3/5 Stars,03-09-21,Alhamdulila plz increase quantity in this price roti is good and expensive otherwise fine alhamdulila,Lahore
3,Hamza,1/5 Stars,02-09-21,It was a disappointing experience. The food was not even average it was below average. The onions in anda tikki were half cooked and the chapli kababs were filled up with flour. I'm gonna rate the order in jst one word. Tastelesssss,Lahore
3,Ijaz,5/5 Stars,01-09-21,Nice,Lahore
3,Aɗŋaŋ,2/5 Stars,01-09-21,Food was not good. Order chicken kebab but quality is not good.,Lahore
3,Shahbaz,1/5 Stars,31-08-21,Ghee wali roti was dry and worst than a simple roti. Chapli kabab deal is pathetic. It doesn’t even taste anything like chapli kabab. Quantity of anda shami bhujia is very small,Lahore
3,Abdullah,5/5 Stars,31-08-21,"Delicious churi, amazing thank you Mommy's kitchen.",Lahore
3,Nabeel,5/5 Stars,30-08-21,Yes it was awesome and fantastic food in a town highly recommend for everyone.,Lahore
3,Arfa,2/5 Stars,28-08-21,"It was not cooked completely
Or ghee kum laga hwa tha sookhy sookhy pratha tha",Lahore
3,Umair,5/5 Stars,28-08-21,Awesome as usual,Lahore
3,Zaman,4/5 Stars,28-08-21,Good,Lahore
3,Saman,5/5 Stars,28-08-21,The food is beyond expectations . I have no words to say . . Amazing delicious food.  Nd the achaar she sent ufh amazing,Lahore
3,Fahad,5/5 Stars,28-08-21,Consistently good.,Lahore
3,MAkram,2/5 Stars,24-08-21,Not very good even the roti,Lahore
3,Syed,5/5 Stars,22-08-21,"Excellent daal chawal, raita. Shami kabaab was daal, alu ka Shami kabaab and a little on the spicier side.",Lahore
3,Fahad,5/5 Stars,21-08-21,Bhindi was perfect. 👌🏻,Lahore
3,Faisal,5/5 Stars,17-08-21,Behtreen taste,Lahore
3,Fahad,5/5 Stars,17-08-21,Best home cooked option on foodpanda by far! 👌🏻,Lahore
3,Fahad,5/5 Stars,14-08-21,One of the best home cook meal options. Olive oil parathas are perfect.,Lahore
3,Mahajabeen,5/5 Stars,12-08-21,Best home food 👍🏻,Lahore
3,Mashhud,2/5 Stars,09-08-21,Wasn't good.,Lahore
3,Zain,2/5 Stars,08-08-21,"Ordered cheese paratha, seemed like a chutni instead of cheese and that too was in such a small amount. The paratha itself wqs so tiny that calling in paratha is a disgrace to the actual ""paratha""",Lahore
3,Zill,5/5 Stars,06-08-21,Good food,Lahore
3,Fahid,2/5 Stars,31-07-21,Shaami were only daal no taste of chicken or meat. Chapli kabab were very artificial tasting.,Lahore
3,Doctor,5/5 Stars,30-07-21,"Toba toba toba, Allah muaf kare, is say zyada acha , tasty,yummy khana pooray Pakistan may nahi millay ga.👍👍😋😋",Lahore
3,Nameer,5/5 Stars,30-07-21,Kamal food as always :) keep it up!,Lahore
3,Hamza,5/5 Stars,29-07-21,Food was good.,Lahore
3,Muhammad,5/5 Stars,29-07-21,Was good but mirchi hulki rakha kro yr,Lahore
3,Noor,4/5 Stars,29-07-21,I ordered 2 mango Juice.. and the Quantity was low according to Prices..,Lahore
3,Haroon,5/5 Stars,28-07-21,Cheese Omelette and paratha was very good will order again,Lahore
3,Zohaib,3/5 Stars,27-07-21,A good home based food restaurant on foodpanda. But can do much better. Too much piyaaz in anda piyaaz bhujia and too less egg.,Lahore
3,hassan,5/5 Stars,26-07-21,"Mac and cheese was good considering the price. Daal chawal were not bad at all, Achaar Salad was very good. Ghee wali roti was good, as well as Kebabs however kebabs were not salty enough hence tasted a little bland. Raita wasnt good, it was just ok.",Lahore
3,Mahgul,4/5 Stars,24-07-21,Good food,Lahore
3,Mahi,5/5 Stars,24-07-21,Food was fresh and hygienic. Strongly recommend to all.,Lahore
3,Nameer,5/5 Stars,22-07-21,"Fantastic daal! Amazing soft roti!! Waki Lagta hai maa ki haat k Khana hai, Thank you so much!!!",Lahore
3,Musaddiq,1/5 Stars,21-07-21,Taste less,Lahore
3,Jahanzeb,5/5 Stars,20-07-21,Kabab masala was very delicious. Pratha is also very yummy.,Lahore
3,Ahmed,1/5 Stars,20-07-21,Raita was just like lassi and not filling well potato as they charge 100 rupees per pratha just oky keh skty hen.,Lahore
3,Nouman,5/5 Stars,17-07-21,Awesome.,Lahore
3,Nouman,5/5 Stars,14-07-21,One of the best home cooked foods I have had - in either Lahore or Islamabad.,Lahore
3,Muddassir,5/5 Stars,14-07-21,"Ordered a Paratha Daal deal. Daal was plenty and tasted good. Paratha was also heavy and cooked well. If medium sized servings suffice you, one paratha with the deal would be enough for you. You don't need an extra paratha.",Lahore
4,UsmanMehmood,2/5 Stars,05-09-21,Taste was not so good,Lahore
4,Umair,5/5 Stars,04-09-21,Superb,Lahore
