linkNumber,foodName,foodPrice,foodImage,city
1,Real Deal,Rs. 420,https://images.deliveryhero.io/image/fd-pk/Products/5726140.jpg?width=200,Rawalpindi
1,Chicken Sizzling Pasta,Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726342.jpg?width=200,Rawalpindi
1,BBQ Burger,Rs. 220,https://images.deliveryhero.io/image/fd-pk/Products/5726319.jpg?width=200,Rawalpindi
1,Tikka Paratha Roll,Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/5726350.jpg?width=200,Rawalpindi
1,Crispy Shawarma,Rs. 150,https://images.deliveryhero.io/image/fd-pk/Products/5726345.jpg?width=200,Rawalpindi
1,French Fries,from Rs. 100,https://images.deliveryhero.io/image/fd-pk/Products/5726416.jpg?width=200,Rawalpindi
1,Double Treat Deal,"Rs. 2,300",https://images.deliveryhero.io/image/fd-pk/Products/5726147.jpg?width=200,Rawalpindi
1,Big Deal,"Rs. 1,850",https://images.deliveryhero.io/image/fd-pk/Products/5726146.jpg?width=200,Rawalpindi
1,Saving Offer Deal,"Rs. 1,200",https://images.deliveryhero.io/image/fd-pk/Products/5726149.jpg?width=200,Rawalpindi
1,Hot Offer Deal,"Rs. 1,000",https://images.deliveryhero.io/image/fd-pk/Products/5726143.jpg?width=200,Rawalpindi
1,Diamond Deal,Rs. 370,https://images.deliveryhero.io/image/fd-pk/Products/5726142.jpg?width=200,Rawalpindi
1,Economy Deal,Rs. 370,https://images.deliveryhero.io/image/fd-pk/Products/5726145.jpg?width=200,Rawalpindi
1,Real Deal,Rs. 420,https://images.deliveryhero.io/image/fd-pk/Products/5726140.jpg?width=200,Rawalpindi
1,Chicken BBQ Pizza,from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726188.jpg?width=200,Rawalpindi
1,Chicken Fajita Pizza,from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726193.jpg?width=200,Rawalpindi
1,Chicken Mexican Pizza,from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726190.jpg?width=200,Rawalpindi
1,Chicken Shawarma Pizza,from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726194.jpg?width=200,Rawalpindi
1,Chicken Supreme Pizza,from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726189.jpg?width=200,Rawalpindi
1,Chicken Tandoori Pizza,from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726196.jpg?width=200,Rawalpindi
1,Chicken Tikka Pizza,from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726187.jpg?width=200,Rawalpindi
1,Hot & Spicy Pizza,from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726195.jpg?width=200,Rawalpindi
1,Malai Boti Pizza,from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726192.jpg?width=200,Rawalpindi
1,Veggie Lover Pizza,from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726191.jpg?width=200,Rawalpindi
1,Chicken Sizzling Pasta,Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726342.jpg?width=200,Rawalpindi
1,Chicken Cheese Stick,Rs. 350,https://images.deliveryhero.io/image/fd-pk/Products/5726341.jpg?width=200,Rawalpindi
1,Grand Sizzler Burger,Rs. 400,https://images.deliveryhero.io/image/fd-pk/Products/5726320.jpg?width=200,Rawalpindi
1,Grilled Sizzler Burger,Rs. 290,https://images.deliveryhero.io/image/fd-pk/Products/5726322.jpg?width=200,Rawalpindi
1,Sizzling Burger,Rs. 270,https://images.deliveryhero.io/image/fd-pk/Products/5726317.jpg?width=200,Rawalpindi
1,BBQ Burger,Rs. 220,https://images.deliveryhero.io/image/fd-pk/Products/5726319.jpg?width=200,Rawalpindi
1,Chicken Patty Burger,Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/5726318.jpg?width=200,Rawalpindi
1,Crispy Paratha Roll,Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/5726349.jpg?width=200,Rawalpindi
1,Fajita Paratha Roll,Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/5726351.jpg?width=200,Rawalpindi
1,Food Arabia,Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/5726348.jpg?width=200,Rawalpindi
1,Kababish Shawarma,Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/5726347.jpg?width=200,Rawalpindi
1,Supreme Shawarma,Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/5726346.jpg?width=200,Rawalpindi
1,Tikka Paratha Roll,Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/5726350.jpg?width=200,Rawalpindi
1,Crispy Shawarma,Rs. 150,https://images.deliveryhero.io/image/fd-pk/Products/5726345.jpg?width=200,Rawalpindi
1,Nuggets,from Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/5726409.jpg?width=200,Rawalpindi
1,French Fries,from Rs. 100,https://images.deliveryhero.io/image/fd-pk/Products/5726416.jpg?width=200,Rawalpindi
1,Mineral Water,from Rs. 50,https://images.deliveryhero.io/image/fd-pk/Products/5726424.jpg?width=200,Rawalpindi
1,Soft Drink,from Rs. 50,https://images.deliveryhero.io/image/fd-pk/Products/5726423.jpg?width=200,Rawalpindi
2,Karachi  Biryani ,from Rs. 190,https://images.deliveryhero.io/image/fd-pk/Products/5772973.jpg?width=200,Rawalpindi
2,Chicken Haleem,from Rs. 150,https://images.deliveryhero.io/image/fd-pk/Products/5773082.jpg?width=200,Rawalpindi
2, Chicken Pulao ,from Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/5772977.jpg?width=200,Rawalpindi
2,Haleem Palao,from Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/5875618.jpg?width=200,Rawalpindi
2,Haleem  Biryani,from Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/5875358.jpg?width=200,Rawalpindi
2,Karachi  Biryani ,from Rs. 190,https://images.deliveryhero.io/image/fd-pk/Products/5772973.jpg?width=200,Rawalpindi
2,Chicken Haleem,from Rs. 150,https://images.deliveryhero.io/image/fd-pk/Products/5773082.jpg?width=200,Rawalpindi
2,Tandoori Roti Simple,Rs. 25,https://images.deliveryhero.io/image/fd-pk/Products/6023612.jpg?width=200,Rawalpindi
3,Chicken Tikka Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5813976.jpg?width=200,Rawalpindi
3,Smack Special Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5813974.jpg?width=200,Rawalpindi
3,Smoked Chicken Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5813977.jpg?width=200,Rawalpindi
3, Chicken Fajita 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814044.jpg?width=200,Rawalpindi
3, Chicken Tikka 9inch Deep  Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814046.jpg?width=200,Rawalpindi
3,Grilled Chicken 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814043.jpg?width=200,Rawalpindi
3,Smack Deal 1,Rs. 599,https://images.deliveryhero.io/image/fd-pk/Products/6675830.jpg?width=200,Rawalpindi
3,Smack Deal 5,Rs. 599,https://images.deliveryhero.io/image/fd-pk/Products/6758982.jpg?width=200,Rawalpindi
3,Smack Deal 2,Rs. 425,https://images.deliveryhero.io/image/fd-pk/Products/6758978.jpg?width=200,Rawalpindi
3,BBQ Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5822772.jpg?width=200,Rawalpindi
3,Beef Pepperoni Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/6332598.jpg?width=200,Rawalpindi
3,Chicken Fajita Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5813975.jpg?width=200,Rawalpindi
3,Chicken Pepperoni Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5813978.jpg?width=200,Rawalpindi
3,Chicken Tikka Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5813976.jpg?width=200,Rawalpindi
3,Jamaica  Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5822782.jpg?width=200,Rawalpindi
3,Margarita Cheese Lover Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5822752.jpg?width=200,Rawalpindi
3,Roasted Beef Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5822776.jpg?width=200,Rawalpindi
3,Shahi Chicken Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5822755.jpg?width=200,Rawalpindi
3,Smack Special Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5813974.jpg?width=200,Rawalpindi
3,Smoked Chicken Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5813977.jpg?width=200,Rawalpindi
3,Veggie Lover Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5822758.jpg?width=200,Rawalpindi
3,Kids Deal 2,"Rs. 1,299",https://images.deliveryhero.io/image/fd-pk/Products/6713508.jpg?width=200,Rawalpindi
3, Cheese Lover 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814122.jpg?width=200,Rawalpindi
3, Chicken Fajita 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814044.jpg?width=200,Rawalpindi
3, Chicken Tikka 9inch Deep  Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814046.jpg?width=200,Rawalpindi
3,BBQ 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814120.jpg?width=200,Rawalpindi
3,Beef Pepperoni 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5822763.jpg?width=200,Rawalpindi
3,Beef Sausages 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5822774.jpg?width=200,Rawalpindi
3,Chicken Pepperoni 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814052.jpg?width=200,Rawalpindi
3,Grilled Chicken 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814043.jpg?width=200,Rawalpindi
3,Jamaica 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814124.jpg?width=200,Rawalpindi
3,Roasted Beef 9inch Deep  Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814121.jpg?width=200,Rawalpindi
3,Shahi Chicken 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814118.jpg?width=200,Rawalpindi
3,Smack Special 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5822753.jpg?width=200,Rawalpindi
3,Smoked Chicken 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814048.jpg?width=200,Rawalpindi
3,Veggie Lover 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814123.jpg?width=200,Rawalpindi
3,BBQ Pizza Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661850.jpg?width=200,Rawalpindi
3,Beef  Roasted Slice Of 21 ,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661853.jpg?width=200,Rawalpindi
3,Beef Sausages Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661852.jpg?width=200,Rawalpindi
3,Chapli Kabab Slice Of 21 ,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661849.jpg?width=200,Rawalpindi
3,Cheese Lover Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661855.jpg?width=200,Rawalpindi
3,Chicken Fajita Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661845.jpg?width=200,Rawalpindi
3,Chicken Pepperoni Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661847.jpg?width=200,Rawalpindi
3,Chicken Tikka Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661844.jpg?width=200,Rawalpindi
3,Grilled Chicken Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661843.jpg?width=200,Rawalpindi
3,Jamaica Slice Of 21 ,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661857.jpg?width=200,Rawalpindi
3,Shahi Chicken Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661848.jpg?width=200,Rawalpindi
3,Smack Special Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661740.jpg?width=200,Rawalpindi
3,Smoked Chicken Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661846.jpg?width=200,Rawalpindi
3,Smoked Turkey Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661858.jpg?width=200,Rawalpindi
3,Veggie Lover Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661856.jpg?width=200,Rawalpindi
3,Smack Pizza Roll,Rs. 299,https://images.deliveryhero.io/image/fd-pk/Products/5660679.jpg?width=200,Rawalpindi
3,Garlic Wings,Rs. 320,https://images.deliveryhero.io/image/fd-pk/Products/6758994.jpg?width=200,Rawalpindi
3,BBQ Wing,Rs. 299,https://images.deliveryhero.io/image/fd-pk/Products/6758992.jpg?width=200,Rawalpindi
3,Chicken Wings,Rs. 275,https://images.deliveryhero.io/image/fd-pk/Products/6758991.jpg?width=200,Rawalpindi
3,Cruchy Patty Burger,Rs. 350,https://images.deliveryhero.io/image/fd-pk/Products/6758999.jpg?width=200,Rawalpindi
3,Mega Crispy Burger,Rs. 300,https://images.deliveryhero.io/image/fd-pk/Products/6758998.jpg?width=200,Rawalpindi
3,Beef Burger,Rs. 280,https://images.deliveryhero.io/image/fd-pk/Products/6759001.jpg?width=200,Rawalpindi
3,Smack Zinger Burger,Rs. 199,https://images.deliveryhero.io/image/fd-pk/Products/6675824.jpg?width=200,Rawalpindi
3,Tikka Fajita Burger,Rs. 199,https://images.deliveryhero.io/image/fd-pk/Products/6759002.jpg?width=200,Rawalpindi
3,Spicy Cheese Roll Paratha,Rs. 250,https://images.deliveryhero.io/image/fd-pk/Products/6758989.jpg?width=200,Rawalpindi
3,Chicken Garlic Roll Paratha,Rs. 220,https://images.deliveryhero.io/image/fd-pk/Products/6758988.jpg?width=200,Rawalpindi
3,Chicken Roll Paratha,Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/6758987.jpg?width=200,Rawalpindi
3,Nuggets,from Rs. 220,https://images.deliveryhero.io/image/fd-pk/Products/6758984.jpg?width=200,Rawalpindi
3,Smack Cheesy Balls,Rs. 299,https://images.deliveryhero.io/image/fd-pk/Products/5660819.jpg?width=200,Rawalpindi
3,Smack Special Fries,Rs. 250,https://images.deliveryhero.io/image/fd-pk/Products/6713516.jpg?width=200,Rawalpindi
3,Chicken Spud,from Rs. 249,https://images.deliveryhero.io/image/fd-pk/Products/5660816.jpg?width=200,Rawalpindi
3,Potato Skins,Rs. 249,https://images.deliveryhero.io/image/fd-pk/Products/5660684.jpg?width=200,Rawalpindi
3,BBQ Fries,Rs. 220,https://images.deliveryhero.io/image/fd-pk/Products/6713515.jpg?width=200,Rawalpindi
3,Masala Fries,Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/6713513.jpg?width=200,Rawalpindi
3,Cheese Bread,Rs. 199,https://images.deliveryhero.io/image/fd-pk/Products/5660685.jpg?width=200,Rawalpindi
3,Plain Fries,Rs. 150,https://images.deliveryhero.io/image/fd-pk/Products/6713509.jpg?width=200,Rawalpindi
3,Garlic Bread,Rs. 149,https://images.deliveryhero.io/image/fd-pk/Products/5660686.jpg?width=200,Rawalpindi
3,Soft Drink,from Rs. 60,https://images.deliveryhero.io/image/fd-pk/Products/5660657.jpg?width=200,Rawalpindi
3,Mineral Water,from Rs. 50,https://images.deliveryhero.io/image/fd-pk/Products/5660669.jpg?width=200,Rawalpindi
3,BBQ Dip Sauce,Rs. 50,https://images.deliveryhero.io/image/fd-pk/Products/5660825.jpg?width=200,Rawalpindi
3,Smack Special Dip Sauce,Rs. 50,https://images.deliveryhero.io/image/fd-pk/Products/5660832.jpg?width=200,Rawalpindi
3,Thousand Island Dip Sauce,Rs. 50,https://images.deliveryhero.io/image/fd-pk/Products/5660833.jpg?width=200,Rawalpindi
4,Pasta,from Rs. 380,https://images.deliveryhero.io/image/fd-pk/Products/6394996.jpg?width=200,Rawalpindi
4,Broast,from Rs. 490,https://images.deliveryhero.io/image/fd-pk/Products/6394957.jpg?width=200,Rawalpindi
4,Double Decker Beef,Rs. 590,https://images.deliveryhero.io/image/fd-pk/Products/6412451.jpg?width=200,Rawalpindi
4,Double Decker Chicken,Rs. 590,https://images.deliveryhero.io/image/fd-pk/Products/6412450.jpg?width=200,Rawalpindi
