linkNumber,reviewBy,reviewRating,reviewAt,reviewDescription,city
1,Angela,5/5 Stars,09-09-21,Nice taste,Rawalpindi
1,Abdul,5/5 Stars,06-09-21,Very tasty but take too much time to deliver,Rawalpindi
1,Momina,4/5 Stars,24-08-21,Taste of.shuwarwa and roll paratha was good,Rawalpindi
1,Khawar,5/5 Stars,24-08-21,"Great taste as always, awesome. Everything is tasty and we'll cooked. Now I'm a regular customer of Sizzling bites and had left other restaurants..Recommended 👍❤️",Rawalpindi
1,Ahsen,1/5 Stars,13-08-21,"The was a simple patty burger instead of a grilled burger and fries were also missing
Whereas they have mentioned in the deal
Entirely Disappointing
Packaging was also very poor",Rawalpindi
1,muhammad,1/5 Stars,08-08-21,"I dont think what the arabic shawarma and oven baked wings mean...
Paratha me salad was arabic shawarma and ganday oil me fry kiye we wings were oven baked wings...
Its Haram earnigs when you mislead buyers, just so you know 🙂",Rawalpindi
1,Amir,5/5 Stars,05-08-21,Excellent,Rawalpindi
1,Hira,4/5 Stars,17-07-21,It was good but the pizza was not as good as we have when we ordered in the restaurant,Rawalpindi
1,Muneeza,5/5 Stars,10-07-21,Pizza was good...shawarma was even better,Rawalpindi
1,Syeda,1/5 Stars,08-07-21,fine,Rawalpindi
1,Aneeq,5/5 Stars,28-06-21,Bohat ala taste ka crunch roll pratha tha,Rawalpindi
1,Aisha,1/5 Stars,25-06-21,Good,Rawalpindi
1,Eqra,5/5 Stars,24-06-21,Great,Rawalpindi
1,Ehteisham,1/5 Stars,23-06-21,Order didn't delivered to me. 👎👎👎. It was my first experience. I will never try tgis again,Rawalpindi
1,Javed,2/5 Stars,11-06-21,Too little,Rawalpindi
1,Aisha,1/5 Stars,08-06-21,It was good,Rawalpindi
1,Khawar,5/5 Stars,04-06-21,"Great and best taste as always, quantity and quality is amazing..now I'm a regular customer of this restaurant. Highly Recommended. :)",Rawalpindi
1,Azan,4/5 Stars,30-05-21,Perfect,Rawalpindi
1,Haseeb,1/5 Stars,29-05-21,Zinger burger was old and chicken was pink,Rawalpindi
1,MalikEhnan,4/5 Stars,23-05-21,Good experience. The taste was awesome. But they don't have kachup.,Rawalpindi
1,MalikEhnan,4/5 Stars,16-05-21,Overall good experience. But I paid for extra topping but its not found.,Rawalpindi
