restaurantID,linkNumber,cityCode,restaurantName,restaurantRating,openingTime,closingTime,restaurantAddress,latitude,longitude,restaurantImage,city
f0,0,f,Muhammadi Nehari D Ground,3.8/5 Stars,8:00 AM, 11:30 pm,"D Ground, Near Meezan Bank, Kohinoor chowk Faisalabad-38000, 38000 Faisalabad",31.412012,73.112979,https://images.deliveryhero.io/image/fd-pk/LH/t3pb-hero.jpg,Faisalabad
f2,2,f,Bangali Lassi & Milk Shake - Clock Tower,3.9/5 Stars,11:00 AM, 11:59 pm,"Near TCS Office Clock Tower Faisalabad, 38000 Faisalabad",31.4187454,73.0791032,https://images.deliveryhero.io/image/fd-pk/LH/h4ck-hero.jpg,Faisalabad
f5,5,f,Fry & Grill,3.9/5 Stars,2:00 PM, 11:59 pm,"45X- 101  Susan road, Madina town  Near life pharmacy, 38000 Faisalabad",31.42627094,73.12282325,https://images.deliveryhero.io/image/fd-pk/LH/mz4v-hero.jpg,Faisalabad
f6,6,f,Jalandhar Fish & BBQ,4.1/5 Stars,11:00 AM, 11:59 pm,"P-33 Regal Road, Jhang Bazar Faisalabad, 38000 Faisalabad",31.41687482,73.07636516,https://images.deliveryhero.io/image/fd-pk/LH/w0pp-hero.jpg,Faisalabad
f7,7,f,Hafiz G Murgh Pulao,4/5 Stars,10:30 AM, 8:00 pm,"Main sargodha road, opp MTM Mills Near Meezan Bank wali gali Faisalabad, 38000 Faisalabad",31.4394815,73.0902256,https://images.deliveryhero.io/image/fd-pk/LH/u3di-hero.jpg,Faisalabad
f8,8,f,Chashni Cafe - Saddar RWP,4.2/5 Stars,9:00 AM, 10:59 pm,"Shop # 5/2 & 5/2-A, Harding Road, Saddar, Rawalpindi, 46000 Rawalpindi",33.5960371,73.0484051,https://images.deliveryhero.io/image/fd-pk/LH/q788-hero.jpg,Faisalabad
f9,9,f,Domino's Pizza - G11,4.3/5 Stars,12:00 AM, 11:59 pm,"(Trusted partner), 74004 Islamabad",32.9251389,72.7947778,https://images.deliveryhero.io/image/fd-pk/LH/s8op-hero.jpg,Faisalabad
f12,12,f,Pizza Lavia,3.7/5 Stars,2:15 PM, 11:59 pm,"Ripple Ln, Block C People's Colony No 1, Faisalabad, Punjab, Pakistan, 38000 Faisalabad",31.4117438,73.1126899,https://images.deliveryhero.io/image/fd-pk/LH/kd2y-hero.jpg,Faisalabad
f13,13,f,The Merry Kitchen,3.8/5 Stars,3:00 PM, 3:15 pm,"Main Susan Road Ahmed Balochi Street Madina Town Faisalabad, 38000 Faisalabad",31.42602747,73.12041234,https://images.deliveryhero.io/image/fd-pk/LH/ole3-hero.jpg,Faisalabad
f14,14,f,Kamran Sweets & Bakers,3.9/5 Stars,9:00 AM, 10:00 pm,"Saleemi Chowk, Near Rex city, Jhal Main Satiana Road, 38000 Faisalabad",31.40831158,73.09804033,https://images.deliveryhero.io/image/fd-pk/LH/ld07-hero.jpg,Faisalabad
