foodID,restaurantID,foodNumber,linkNumber,cityCode,foodName,foodPrice,foodImage,city
f1,f0,1,0,f,Fried Mutton Nihari,from Rs. 700,https://images.deliveryhero.io/image/fd-pk/Products/3623591.jpg?width=200,Faisalabad
f2,f0,2,0,f,Sada Beef Nihari ,from Rs. 500,https://images.deliveryhero.io/image/fd-pk/Products/3623594.jpg?width=200,Faisalabad
f3,f0,3,0,f,Fried Beef Nihari ,from Rs. 550,https://images.deliveryhero.io/image/fd-pk/Products/3623601.jpg?width=200,Faisalabad
f4,f0,4,0,f,Sada Chicken Nihari,from Rs. 550,https://images.deliveryhero.io/image/fd-pk/Products/3623611.jpg?width=200,Faisalabad
f5,f0,5,0,f,Fried Maghaz,from Rs. 370,https://images.deliveryhero.io/image/fd-pk/Products/2435912.jpg?width=200,Faisalabad
f6,f0,6,0,f,Sada Nalli,from Rs. 320,https://images.deliveryhero.io/image/fd-pk/Products/3623622.jpg?width=200,Faisalabad
f7,f0,7,0,f,Sada Mutton Nihari,from Rs. 650,https://images.deliveryhero.io/image/fd-pk/Products/3623593.jpg?width=200,Faisalabad
f8,f0,8,0,f,Fried Mutton Nihari,from Rs. 700,https://images.deliveryhero.io/image/fd-pk/Products/3623591.jpg?width=200,Faisalabad
f9,f0,9,0,f,Sada Mutton Nihari with Maghaz,from Rs. 880,https://images.deliveryhero.io/image/fd-pk/Products/3623589.jpg?width=200,Faisalabad
f10,f0,10,0,f,Fried Mutton Nihari with Maghaz,from Rs. 930,https://images.deliveryhero.io/image/fd-pk/Products/3623586.jpg?width=200,Faisalabad
f11,f0,11,0,f,Sada Mutton Nihari with Nalli,from Rs. 880,https://images.deliveryhero.io/image/fd-pk/Products/3623587.jpg?width=200,Faisalabad
f12,f0,12,0,f,Fried Mutton Nihari with Nalli,from Rs. 930,https://images.deliveryhero.io/image/fd-pk/Products/3623592.jpg?width=200,Faisalabad
f13,f0,13,0,f,Special Fried Mutton Nihari ,"from Rs. 1,860",https://images.deliveryhero.io/image/fd-pk/Products/3623588.jpg?width=200,Faisalabad
f14,f0,14,0,f,Special Fried Mutton Nihari Container,"from Rs. 4,280",https://images.deliveryhero.io/image/fd-pk/Products/3623590.jpg?width=200,Faisalabad
f15,f0,15,0,f,Sada Beef Nihari ,from Rs. 500,https://images.deliveryhero.io/image/fd-pk/Products/3623594.jpg?width=200,Faisalabad
f16,f0,16,0,f,Fried Beef Nihari ,from Rs. 550,https://images.deliveryhero.io/image/fd-pk/Products/3623601.jpg?width=200,Faisalabad
f17,f0,17,0,f,Sada Beef Nihari with Maghaz,from Rs. 730,https://images.deliveryhero.io/image/fd-pk/Products/3623595.jpg?width=200,Faisalabad
f18,f0,18,0,f,Fried Beef Nihari with Maghaz,from Rs. 780,https://images.deliveryhero.io/image/fd-pk/Products/4424302.jpg?width=200,Faisalabad
f19,f0,19,0,f,Sada Beef Nihari with Nalli ,from Rs. 730,https://images.deliveryhero.io/image/fd-pk/Products/3623600.jpg?width=200,Faisalabad
f20,f0,20,0,f,Fried Beef Nihari with Nalli,from Rs. 780,https://images.deliveryhero.io/image/fd-pk/Products/3623602.jpg?width=200,Faisalabad
f21,f0,21,0,f,Special Beef Nihari Container ,"from Rs. 3,680",https://images.deliveryhero.io/image/fd-pk/Products/3623599.jpg?width=200,Faisalabad
f22,f0,22,0,f,Sada Chicken Nihari,from Rs. 550,https://images.deliveryhero.io/image/fd-pk/Products/3623611.jpg?width=200,Faisalabad
f23,f0,23,0,f,Fried Chicken Nihari,from Rs. 600,https://images.deliveryhero.io/image/fd-pk/Products/3623608.jpg?width=200,Faisalabad
f24,f0,24,0,f,Sada Chicken Nihari with Maghaz,from Rs. 780,https://images.deliveryhero.io/image/fd-pk/Products/3623605.jpg?width=200,Faisalabad
f25,f0,25,0,f,Fried Chicken Nihari  with Maghaz,from Rs. 830,https://images.deliveryhero.io/image/fd-pk/Products/3623606.jpg?width=200,Faisalabad
f26,f0,26,0,f,Sada Chicken Nihari Nalli,from Rs. 780,https://images.deliveryhero.io/image/fd-pk/Products/3623604.jpg?width=200,Faisalabad
f27,f0,27,0,f,Fried Chicken Nihari with Nalli,from Rs. 830,https://images.deliveryhero.io/image/fd-pk/Products/3623609.jpg?width=200,Faisalabad
f28,f0,28,0,f,Special Fried Chicken Nihari ,"from Rs. 1,660",https://images.deliveryhero.io/image/fd-pk/Products/3623610.jpg?width=200,Faisalabad
f29,f0,29,0,f,Special Fried Chicken Nihari Container,"from Rs. 3,860",https://images.deliveryhero.io/image/fd-pk/Products/3623607.jpg?width=200,Faisalabad
f30,f0,30,0,f,Fried Maghaz,from Rs. 370,https://images.deliveryhero.io/image/fd-pk/Products/2435912.jpg?width=200,Faisalabad
f31,f0,31,0,f,Sada Nalli,from Rs. 320,https://images.deliveryhero.io/image/fd-pk/Products/3623622.jpg?width=200,Faisalabad
