reviewID,restaurantID,reviewNumber,linkNumber,cityCode,reviewBy,reviewRating,reviewAt,reviewDescription,city
f1,f0,1,0,f,Akeel,5/5 Stars,18-06-21,Great,Faisalabad
f2,f0,2,0,f,Syeda,3/5 Stars,11-06-21,Very costly,Faisalabad
f3,f0,3,0,f,Saatir,1/5 Stars,30-05-21,Hate that waste of money,Faisalabad
f4,f0,4,0,f,Hassaan,2/5 Stars,17-05-21,Too spicy,Faisalabad
f5,f0,5,0,f,Waqar,1/5 Stars,21-03-21,Was not fresh and taste not good,Faisalabad
f6,f0,6,0,f,Ayesha,1/5 Stars,20-03-21,Realy bad tasteless nehari and pethatic taste...realy disappointed by the taste.,Faisalabad
f7,f0,7,0,f,Mian,1/5 Stars,13-02-21,Overated,Faisalabad
f8,f0,8,0,f,zeeshan,4/5 Stars,28-12-20,Food was shorted. The portion was tiny,Faisalabad
f9,f0,9,0,f,Ali,1/5 Stars,02-08-20,Really poor quality food as naan was as much hard as rubber!,Faisalabad
f10,f0,10,0,f,Ejaz,3/5 Stars,08-07-20,Less quantity,Faisalabad
f11,f0,11,0,f,Ejaz,3/5 Stars,13-06-20,Mujy nali asli nahi lagi baqi sub theek tha,Faisalabad
f12,f0,12,0,f,Ahmed,1/5 Stars,12-06-20,My order was cool and doesn’t able to eat the loaf was hard enough,Faisalabad
f13,f0,13,0,f,Umar,1/5 Stars,11-06-20,Taste is not good,Faisalabad
f14,f0,14,0,f,Rai,1/5 Stars,30-05-20,Very poor quality & taste nihari.,Faisalabad
f15,f0,15,0,f,Mohammad,5/5 Stars,18-05-20,Your message service is down your rider doesn't contact properly we have problems in sehrii and iftarii hamain smjh Nh aata apki deal ayegii ya nh ayegii please is par kaam karain apka rider hamain reply hy Nh karta hamain phir do jagah order krna parts hai or ju ajata hai Woh Rakh Kar dosra order camcel Karna parta hai yah hum Nh chahtay please isko thek karain,Faisalabad
f16,f0,16,0,f,Adnan,1/5 Stars,10-05-20,The items I ordered were khameri rotis which loose freshness the moment it leaves oven. I have found that this service is not (yet) able to deliver perishable items in good quality. Sepcial heated container could help I guess. Overall foodpanada is a good service,Faisalabad
f17,f0,17,0,f,Sufyan,1/5 Stars,30-04-20,"I was order beef nihari and it was Cold, not fresh .. its like 7 din purani ho ..",Faisalabad
f18,f0,18,0,f,Ahsan,3/5 Stars,22-04-20,Food quality is not good especially meat in nihari,Faisalabad
f19,f0,19,0,f,Asad,1/5 Stars,21-03-20,Very  bad taste  Plz avoid it,Faisalabad
f20,f0,20,0,f,Usama,5/5 Stars,15-03-20,"ride cut his tip without my permission and he didnt give me back remaining , food was awesome but packing is nit so good",Faisalabad
f21,f2,21,2,f,Bhatti,5/5 Stars,16-03-21,پلیز فاسٹ سروس دیں,Faisalabad
f22,f5,22,5,f,Osman,1/5 Stars,11-09-21,Bakwas pizza tha,Faisalabad
f23,f5,23,5,f,Zain,5/5 Stars,11-08-21,Awesome food awesome taste,Faisalabad
f24,f5,24,5,f,Hamza,4/5 Stars,09-08-21,"I ordered a small kabab pizza, but it was something else. Otherwise taste was nice",Faisalabad
f25,f5,25,5,f,HassanBin,1/5 Stars,08-08-21,Pizza cheese khatti thi.....dough bohat hard .....ajeeb he tha waise pizza,Faisalabad
f26,f5,26,5,f,Haroon,5/5 Stars,07-08-21,Great food,Faisalabad
f27,f5,27,5,f,Usama,1/5 Stars,02-08-21,taken much time to ready the food which was more than 40 minutes 😡,Faisalabad
f28,f5,28,5,f,mian,5/5 Stars,25-07-21,Very nice,Faisalabad
f29,f5,29,5,f,azeem,1/5 Stars,11-07-21,Food was just so so,Faisalabad
f30,f5,30,5,f,Mufarrah,5/5 Stars,03-07-21,"Well order was delivered a bit late but the taste of spin rolls was exceptionally good ! 
Obviously would love to order again.
Much thank you to the chef of Fry & Grill.",Faisalabad
f31,f5,31,5,f,Abdul,5/5 Stars,02-07-21,Deserve 5 ⭐️,Faisalabad
f32,f5,32,5,f,Gohar,5/5 Stars,25-06-21,"Out class taste
10/10",Faisalabad
f33,f5,33,5,f,afnan,5/5 Stars,12-06-21,Yummy,Faisalabad
f34,f5,34,5,f,anam,2/5 Stars,09-06-21,Less order received disappointing thing,Faisalabad
f35,f5,35,5,f,Gohar,3/5 Stars,03-04-21,Pehlay sy qualtiy thori kam krdi hai,Faisalabad
f36,f5,36,5,f,Umar,5/5 Stars,14-03-21,Brilliant services,Faisalabad
