foodID,restaurantID,foodNumber,linkNumber,cityCode,foodName,foodPrice,foodImage,city
i506,i2,506,2,i,Nutella Waffle,from Rs. 650,https://images.deliveryhero.io/image/fd-pk/Products/679396.jpg?width=200,Islamabad
i507,i2,507,2,i,Nutella Lava Cake with Vanilla Ice Cream,from Rs. 750,https://images.deliveryhero.io/image/fd-pk/Products/1175020.jpg?width=200,Islamabad
i508,i2,508,2,i,Nutella Filled Cookie Slice,from Rs. 300,https://images.deliveryhero.io/image/fd-pk/Products/1175022.jpg?width=200,Islamabad
i509,i2,509,2,i,Nutella Fudge Cake Slice,from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/1175024.jpg?width=200,Islamabad
i510,i2,510,2,i,Nutella Gooey Brownie with Vanilla Ice Cream,from Rs. 650,https://images.deliveryhero.io/image/fd-pk/Products/1175017.jpg?width=200,Islamabad
i511,i2,511,2,i,Nutella Sundae Jar,from Rs. 780,https://images.deliveryhero.io/image/fd-pk/Products/1175025.jpg?width=200,Islamabad
i512,i2,512,2,i,Ice Cream Tub,"Rs. 1,499",https://images.deliveryhero.io/image/fd-pk/Products/6364241.jpg?width=200,Islamabad
i513,i2,513,2,i,Peanut Butter,from Rs. 449,https://images.deliveryhero.io/image/fd-pk/Products/3438547.jpg?width=200,Islamabad
i514,i2,514,2,i,Caramel Confection,from Rs. 449,https://images.deliveryhero.io/image/fd-pk/Products/3438548.jpg?width=200,Islamabad
i515,i2,515,2,i,Strawberry Cheesecake ,from Rs. 449,https://images.deliveryhero.io/image/fd-pk/Products/3454328.jpg?width=200,Islamabad
i516,i2,516,2,i,Sweet Cream ,from Rs. 449,https://images.deliveryhero.io/image/fd-pk/Products/3454329.jpg?width=200,Islamabad
i517,i2,517,2,i,Cookie N Cream ,from Rs. 449,https://images.deliveryhero.io/image/fd-pk/Products/3454330.jpg?width=200,Islamabad
i518,i2,518,2,i,Death By Chocolate ,from Rs. 449,https://images.deliveryhero.io/image/fd-pk/Products/3454331.jpg?width=200,Islamabad
i519,i2,519,2,i,Coffee Cobbler,from Rs. 449,https://images.deliveryhero.io/image/fd-pk/Products/6365494.jpg?width=200,Islamabad
i520,i2,520,2,i,Coco Loco,from Rs. 449,https://images.deliveryhero.io/image/fd-pk/Products/6365495.jpg?width=200,Islamabad
i521,i2,521,2,i,Cosmoplois Spectacle,from Rs. 449,https://images.deliveryhero.io/image/fd-pk/Products/6365496.jpg?width=200,Islamabad
i522,i2,522,2,i,Nutella Waffle,from Rs. 650,https://images.deliveryhero.io/image/fd-pk/Products/679396.jpg?width=200,Islamabad
i523,i2,523,2,i,Nutella Crepes,from Rs. 650,https://images.deliveryhero.io/image/fd-pk/Products/679397.jpg?width=200,Islamabad
i524,i2,524,2,i,Nutella French Toast,from Rs. 650,https://images.deliveryhero.io/image/fd-pk/Products/679400.jpg?width=200,Islamabad
i525,i2,525,2,i,Nutella Pancakes,from Rs. 650,https://images.deliveryhero.io/image/fd-pk/Products/679399.jpg?width=200,Islamabad
