reviewID,restaurantID,reviewNumber,linkNumber,cityCode,reviewBy,reviewRating,reviewAt,reviewDescription,city
i287,i2,287,2,i,ha,1/5 Stars,01-09-21,"We ordered 4 nutella sundae jars, and as opposed to what was shown there was no jar or nutella in it. And they said they ran out of jars lol. For 780rs it was a pretty bad experience",Islamabad
i288,i2,288,2,i,Nadia,1/5 Stars,17-08-21,the creps i ordered were not fresh you could hardly cut it and eat it very bad exp,Islamabad
i289,i2,289,2,i,Abubakar,3/5 Stars,10-08-21,Nutella Cheesecake did not have nutella. Just simple cheese cake. Nutella donut had less quantity of nutella. Fudge cake was excellent,Islamabad
i290,i2,290,2,i,Ameer,5/5 Stars,10-08-21,The jar I ordered was empty in the middle. I complained too Nicola and they were able to satisfyingly to resolve the issue,Islamabad
i291,i2,291,2,i,Sarah,2/5 Stars,08-08-21,We ordered cocoloco but got caramel instead. The coffee shake was too sweet,Islamabad
i292,i2,292,2,i,Muhammad,1/5 Stars,07-08-21,I ordered belgian chocolate and they gave me vanilla,Islamabad
i293,i2,293,2,i,Syeda,5/5 Stars,03-08-21,Yummmiest waffle in town 😋,Islamabad
i294,i2,294,2,i,Amna,2/5 Stars,26-07-21,Very bad,Islamabad
i295,i2,295,2,i,Musaub,1/5 Stars,26-07-21,Extremely small serving.,Islamabad
i296,i2,296,2,i,Ameer,5/5 Stars,17-06-21,Average,Islamabad
i297,i2,297,2,i,Omar,4/5 Stars,17-06-21,The cheesecakes crust wasn’t fresh and had a bit of a weird taste to it. The waffles were pretty good,Islamabad
i298,i2,298,2,i,Amer,3/5 Stars,12-06-21,Taste was not up to the mark. I was disappointed,Islamabad
i299,i2,299,2,i,Emmad,1/5 Stars,04-05-21,"Extremely horrid smell and taste of the ordered waffle. The bananas were ripped so bad that the smell made it even hard try to eat. 
After the having the first bite it went straight to the bin.",Islamabad
i300,i2,300,2,i,Iffrah,5/5 Stars,03-04-21,Received wrong order and the waffle itself was sour,Islamabad
i301,i2,301,2,i,Bur,2/5 Stars,27-03-21,Very expensive,Islamabad
i302,i2,302,2,i,Abubakar,3/5 Stars,22-03-21,They did not even have a paper bag. Also cheese cake slice size has been reduced.,Islamabad
i303,i2,303,2,i,Musarrat,2/5 Stars,08-03-21,Very big big price,Islamabad
i304,i2,304,2,i,Shaheryar,1/5 Stars,03-01-21,Nutella Jar was really good but their wwy of packaging was not that good tbh. They took really long to complete the order although rider managed to bring on time. They didn't gave disposal spoons upon complaining foodpanda replied that disposable spoons are complimentary. Like very nice and hygenic way of delivering food.,Islamabad
i305,i2,305,2,i,Amjad,1/5 Stars,19-12-20,Serving was very less in amount..disappointing...,Islamabad
i306,i2,306,2,i,Abubakar,5/5 Stars,13-10-20,Everything was awesone. But Package should be sealed by tape atleast.,Islamabad
i307,i2,307,2,i,Umar,1/5 Stars,02-10-20,"Not given the topings i ordered for and instead of calling me they put stuff on their own which i didnt like so the food was a waste. Please refrain from making these mistakes, not good for the corporation.",Islamabad
i308,i2,308,2,i,Aamna,2/5 Stars,10-08-20,Very disappointed. Didn’t taste nice nor was the texture good,Islamabad
i309,i2,309,2,i,Khunsha,5/5 Stars,23-07-20,"I ordered fudge brownies with a scoop of icecream, they sent 2 scoops of 2 different ice creams instead❤ also, the brownie is very tasty💯",Islamabad
i310,i2,310,2,i,Ayesha,1/5 Stars,03-07-20,I ordered a lava cake and when i started to eat there was no lava in the cake. Kinda disappointed,Islamabad
i311,i2,311,2,i,Komal,1/5 Stars,28-06-20,There was piecies of plastic in my icecream!,Islamabad
i312,i2,312,2,i,Nabeel,4/5 Stars,23-05-20,Have given 4 starts because the food was good but There is always something missing or wrong with the order. Don’t know if it’s the restaurant or the riders that don’t check properly but considering to stop using foodpanda now!,Islamabad
i313,i2,313,2,i,Zubair,1/5 Stars,18-05-20,"Very less Nutella, wrong toppings",Islamabad
i314,i2,314,2,i,Zubair,5/5 Stars,28-04-20,Order came without a bag,Islamabad
i315,i2,315,2,i,Nea,4/5 Stars,17-04-20,The waffle was dry,Islamabad
i316,i2,316,2,i,Mrs Z,2/5 Stars,24-06-19,Everything wasn’t good,Islamabad
i317,i2,317,2,i,fizan m,1/5 Stars,22-05-19,Not good !,Islamabad
i318,i2,318,2,i,tehreem s,4/5 Stars,26-01-19,"Not bad but it will be good to eat at their place with decoration ,topping ...",Islamabad
i319,i2,319,2,i,Hassan K,1/5 Stars,05-01-19,My friend and I both got the worst case of food poisoning.. and this was after the restaurant took double the time to have the food delivered.,Islamabad
i320,i2,320,2,i,Mohammad O,1/5 Stars,04-01-19,Order was reached very late plz try to improve the delivery service....,Islamabad
i321,i3,321,3,i,Salma,1/5 Stars,16-08-21,"Worst.cold rice .even kebab were half,They hide it under the rice. Very poor",Islamabad
i322,i3,322,3,i,Rida,1/5 Stars,09-08-21,I wish there was no option for a single star even. Biryani was too spicy and it was like total salty. Very bad. NOT RECOMMENDED. Packing was pathetic too.,Islamabad
i323,i3,323,3,i,Jahangir,1/5 Stars,25-07-21,"Biryani was worst and tasteless at all. Well i wouldnt call it biryani, I will call it pulao cooked in a very worst way possible. It was my first and last blunder that i made by ordering from this restaurant. I will make sure that to not let anyone in my family or friends order from this place. Really dissapointed to the extreme.",Islamabad
i324,i3,324,3,i,Asad,5/5 Stars,25-07-21,"Excellent meal, quick service",Islamabad
