foodID,restaurantID,foodNumber,linkNumber,cityCode,foodName,foodPrice,foodImage,city
k4368,k0,4368,0,k,Pizza Deal 2,Rs. 600,https://images.deliveryhero.io/image/fd-pk/Products/7006817.jpg?width=200,Karachi
k4369,k0,4369,0,k,Afghani Tikka Pizza,from Rs. 255Rs. 300,https://images.deliveryhero.io/image/fd-pk/Products/7006759.jpg?width=200,Karachi
k4370,k0,4370,0,k,Pizza Deal 1,Rs. 550,https://images.deliveryhero.io/image/fd-pk/Products/7006816.jpg?width=200,Karachi
k4371,k0,4371,0,k,Pizza Deal 2,Rs. 600,https://images.deliveryhero.io/image/fd-pk/Products/7006817.jpg?width=200,Karachi
k4372,k0,4372,0,k,Pizza Deal 3,Rs. 950,https://images.deliveryhero.io/image/fd-pk/Products/7006818.jpg?width=200,Karachi
k4373,k0,4373,0,k,Pizza Deal 4,"Rs. 1,200",https://images.deliveryhero.io/image/fd-pk/Products/7006819.jpg?width=200,Karachi
k4374,k0,4374,0,k,Pizza Deal 5,"Rs. 1,700",https://images.deliveryhero.io/image/fd-pk/Products/7006820.jpg?width=200,Karachi
k4375,k0,4375,0,k,Pizza Deal 6,"Rs. 2,200",https://images.deliveryhero.io/image/fd-pk/Products/7006821.jpg?width=200,Karachi
k4376,k0,4376,0,k,Chicken Tikka Pizza,from Rs. 255Rs. 300,https://images.deliveryhero.io/image/fd-pk/Products/7006702.jpg?width=200,Karachi
k4377,k0,4377,0,k,Chicken Fajita Pizza,from Rs. 255Rs. 300,https://images.deliveryhero.io/image/fd-pk/Products/7006753.jpg?width=200,Karachi
k4378,k0,4378,0,k,Chicken Tandoori Pizza,from Rs. 255Rs. 300,https://images.deliveryhero.io/image/fd-pk/Products/7006754.jpg?width=200,Karachi
k4379,k0,4379,0,k,Arbish Super Spice Pizza,from Rs. 255Rs. 300,https://images.deliveryhero.io/image/fd-pk/Products/7006755.jpg?width=200,Karachi
k4380,k0,4380,0,k,Super Supremo Pizza,from Rs. 255Rs. 300,https://images.deliveryhero.io/image/fd-pk/Products/7006756.jpg?width=200,Karachi
k4381,k0,4381,0,k,Creamy Chicken Pizza,from Rs. 255Rs. 300,https://images.deliveryhero.io/image/fd-pk/Products/7006757.jpg?width=200,Karachi
k4382,k0,4382,0,k,Malai Boti Pizza,from Rs. 255Rs. 300,https://images.deliveryhero.io/image/fd-pk/Products/7006758.jpg?width=200,Karachi
k4383,k0,4383,0,k,Afghani Tikka Pizza,from Rs. 255Rs. 300,https://images.deliveryhero.io/image/fd-pk/Products/7006759.jpg?width=200,Karachi
k4384,k0,4384,0,k,Bihari Tikka Pizza,from Rs. 255Rs. 300,https://images.deliveryhero.io/image/fd-pk/Products/7006760.jpg?width=200,Karachi
k4385,k0,4385,0,k,Cheesy Lovers Pizza,from Rs. 255Rs. 300,https://images.deliveryhero.io/image/fd-pk/Products/7006762.jpg?width=200,Karachi
