restaurantID,linkNumber,cityCode,restaurantName,restaurantRating,openingTime,closingTime,restaurantAddress,latitude,longitude,restaurantImage,city
k0,0,k,Pizza Arbish,4.4/5 Stars,3:30 PM, 11:59 pm,"3-1, Sector 51 5c1 North Karachi, Bara Market., 71500 Karachi",24.98934706,67.05781807,https://images.deliveryhero.io/image/fd-pk/LH/vj7o-hero.jpg,Karachi
k3,3,k,Xoro's Burgers & Pizza,4.1/5 Stars,6:00 PM, 11:59 pm,"Shop 28 Sec 14/A Orangi Town Akbar Chok Near Bashani Sweet, Karachi, 75800 Karachi",24.95646355,66.9960261,https://images.deliveryhero.io/image/fd-pk/LH/gv77-hero.jpg,Karachi
k5,5,k,Ehsaan foods,3.6/5 Stars,10:00 AM, 11:59 pm,"house no 19/5 sector 5E, north karachi, 75290 Karachi",24.9876404,67.0705763,https://images.deliveryhero.io/image/fd-pk/LH/beb7-hero.jpg,Karachi
k7,7,k,Aiza & Ayan kitchen,4.2/5 Stars,8:00 AM, 9:00 pm,"Jama masjid Muhammad sector7-A bilal colony near ajmair nagri pso petrol pump, 72400 Karachi",24.9831107,67.0515467,https://images.deliveryhero.io/image/fd-pk/LH/ubn3-hero.jpg,Karachi
k11,11,k,MR CONE BIRYANI (Surjani Town),3/5 Stars,12:00 PM, 11:59 pm,"Surjani Town KDA Flat d 53 Karachi, 75850 Karachi",25.0190669,67.0632373,https://images.deliveryhero.io/image/fd-pk/LH/ktqu-hero.jpg,Karachi
k13,13,k,Chai Samosa,4.4/5 Stars,2:00 PM, 11:59 pm,"R -97 sector 10 north karachi, 75850 Karachi",24.96792855,67.0557599,https://images.deliveryhero.io/image/fd-pk/LH/w9yj-hero.jpg,Karachi
k15,15,k,Burger Bar,3.1/5 Stars,6:30 PM, 11:59 pm,"Sector 11 C 1 North Karachi Twp, Karachi, Karachi City, Sindh, 00000 Karachi",24.9719972,67.0648538,https://images.deliveryhero.io/image/fd-pk/LH/e5t8-hero.jpg,Karachi
k17,17,k,Manpasand Bakers,4.2/5 Stars,9:00 AM, 11:59 pm,"Manpasand Bakers, plot # 461, sector 8, near baradari stop furqania masjid, North Karachi., 75850 Karachi",24.9794484,67.0554642,https://images.deliveryhero.io/image/fd-pk/LH/gh8v-hero.jpg,Karachi
k19,19,k,Mukhtarya Famous Behari Kabab,3.5/5 Stars,1:00 PM, 6:59 pm,"Shop#40 sector 15 A orangi town main bangla bazar, Karachi, 75800 Karachi",24.95300071,66.99940458,https://images.deliveryhero.io/image/fd-pk/LH/d6to-hero.jpg,Karachi
k21,21,k,Biryani corner and pakwan centre,3.4/5 Stars,4:00 PM, 4:15 pm,"Shop#2 Yasmeen heights power house chowrangi , near K-electric office  , North Karachi, 75850 Karachi",24.9857682,67.0617867,https://images.deliveryhero.io/image/fd-pk/LH/y4ov-hero.jpg,Karachi
k23,23,k,Herky Fast Food,4.3/5 Stars,3:00 PM, 3:15 pm,"Shop#A/576 sector 11-b north karachi, 75850 Karachi",24.9721004,67.0572075,https://images.deliveryhero.io/image/fd-pk/LH/w7ti-hero.jpg,Karachi
k25,25,k,Sheikhchllies Fast Food Pizza & Pizza Fries,3/5 Stars,5:00 PM, 11:59 pm,"Rihab arcade sector 5 j new Karachi, 75850 Karachi",25.0001692,67.0723656,https://images.deliveryhero.io/image/fd-pk/LH/vbdj-hero.jpg,Karachi
k27,27,k,Pizza Choice,3.4/5 Stars,5:00 PM, 11:59 pm,"Shop no 1  imam barga karwan.e.hyderi sector 11-D new karachi near Sunday car bazar, 75850 Karachi",24.9841875,67.0750625,https://images.deliveryhero.io/image/fd-pk/LH/xee1-hero.jpg,Karachi
k29,29,k,Royal Bistro,3.9/5 Stars,6:00 PM, 11:59 pm,"Shop G13 KDA Flat Shadmaan #2, North Nazimabad Town, Karachi, 74600 Karachi",25.0026875,67.0548125,https://images.deliveryhero.io/image/fd-pk/LH/w7tr-hero.jpg,Karachi
k30,30,k,Islam Food Centre,3.9/5 Stars,4:00 PM, 11:59 pm,"St 14 North Karachi Sector 10, Al Rauf Corners., 75950 Karachi",24.9652262,67.0562766,https://images.deliveryhero.io/image/fd-pk/LH/u7gj-hero.jpg,Karachi
k31,31,k,SANA BBQ AND FAST FOOD,3.6/5 Stars,8:00 PM, 11:59 pm,"Shop no 16 ST.13 Sector 5.c.2 Bilal town north karachi, 75850 Karachi",24.9895625,67.0616875,https://images.deliveryhero.io/image/fd-pk/LH/mnl0-hero.jpg,Karachi
k32,32,k,Chef Bilal Pakwan Centre,4/5 Stars,1:00 PM, 4:00 pm,"Sector 5 B 3 New Karachi Town, Karachi, Karachi City, Sindh, 75850 Karachi",24.9934275,67.0572712,https://images.deliveryhero.io/image/fd-pk/LH/azte-hero.jpg,Karachi
k33,33,k,Burger 99,3.9/5 Stars,4:15 PM, 11:59 pm,"R-713 sector 9 North Karachi, 74600 Karachi",24.9727491,67.0544091,https://images.deliveryhero.io/image/fd-pk/LH/v3tt-hero.jpg,Karachi
k34,34,k,AL MAKKAH FAST FOOD,3.8/5 Stars,7:00 PM, 11:59 pm,"Shop no B 2/3 BAITUL ANUM apartment sec 5k North karachi, 75850 Karachi",24.99077983,67.06587737,https://images.deliveryhero.io/image/fd-pk/LH/wepc-hero.jpg,Karachi
k35,35,k,WRSA Food Point,3.7/5 Stars,9:00 AM, 9:00 pm,"House #A-474 Is sector 14B Shadman town 2 North Nazimabad Karachi Near Shadman masjid Opposite  oxford school, 75850 Karachi",24.96288785,67.05803227,https://images.deliveryhero.io/image/fd-pk/LH/wrei-hero.jpg,Karachi
