reviewID,restaurantID,reviewNumber,linkNumber,cityCode,reviewBy,reviewRating,reviewAt,reviewDescription,city
k2176,k0,2176,0,k,Sabaha,5/5 Stars,03-09-21,Testy & Quickly Prepare,Karachi
k2177,k3,2177,3,k,Noor,4/5 Stars,20-07-21,Cheese Zara thi fajita sicilian me or chicken kam tha taste average tha bs baki packaging and timeline  were good,Karachi
k2178,k3,2178,3,k,Komal,1/5 Stars,22-05-21,"SPOILER WARNING! do not waste your money! This was the worst thing I have eaten in my whole life! I can't call it a Pizza. I ordered cheesy pizza and it was just bread and low quality cheeze on it. No sauses no meat, no other topping, nothing. I wasted my money on them.",Karachi
k2179,k3,2179,3,k,sony,5/5 Stars,13-05-21,"bht achi service hai inki 
or pizza b bht testy",Karachi
k2180,k3,2180,3,k,Noor,5/5 Stars,06-05-21,I ordered white pasta and pizza fries..both were delicious..packaging Is not so good but taste is acceptable and good...,Karachi
k2181,k5,2181,5,k,Tasawar,5/5 Stars,01-09-21,Yes,Karachi
k2182,k5,2182,5,k,Hina,2/5 Stars,23-08-21,"Biryani is so bad,soo much oily and spicy,rice are not well cooked",Karachi
k2183,k5,2183,5,k,Hamza,1/5 Stars,21-08-21,Worst food,Karachi
k2184,k7,2184,7,k,Shariq,5/5 Stars,03-09-21,It was good experience with all time,Karachi
k2185,k7,2185,7,k,Saima,1/5 Stars,25-08-21,Too much oily and sugar is only in center,Karachi
k2186,k7,2186,7,k,hira,2/5 Stars,23-08-21,"The order did not come as per expectation, a dish of onion and chillies were having only onions no quality food at all and also not pocket friendly in 170 rs we only ate pyaz. Totally disappointing",Karachi
k2187,k7,2187,7,k,Raheel,2/5 Stars,22-08-21,Quality is good but quantity is lesser than before,Karachi
k2188,k7,2188,7,k,Farhan,5/5 Stars,22-08-21,"Very delicious, quantity was also good.",Karachi
k2189,k7,2189,7,k,Syed,3/5 Stars,14-08-21,پراٹھا سخت ہو رہا تھا۔ انڈا پراٹھا میں انڈا کم تھا۔,Karachi
k2190,k7,2190,7,k,abiha,5/5 Stars,13-08-21,Verynice,Karachi
k2191,k7,2191,7,k,Abiha,4/5 Stars,12-08-21,Aloo paratha nd kabab tikki is good but lachedaar paratha is hard,Karachi
k2192,k7,2192,7,k,Talha,5/5 Stars,12-08-21,"Yummiest breakfast I've ever had via foodpanda. Delicious, hygienic and fresh.  Ordered aalo kabab, aalo bhujya and parathas. May Allah give more te barkat in your business aamen.",Karachi
