foodID,restaurantID,foodNumber,linkNumber,cityCode,foodName,foodPrice,foodImage,city
l4772,l0,4772,0,l,Cray Wings Fried Chicken Burger,Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/6529932.jpg?width=200,Lahore
l4773,l0,4773,0,l,Original Bone-In,from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/6180638.jpg?width=200,Lahore
l4774,l0,4774,0,l,House Fries,Rs. 150,https://images.deliveryhero.io/image/fd-pk/Products/6180642.jpg?width=200,Lahore
l4775,l0,4775,0,l,Stuffed Chicken Burger,Rs. 575,https://images.deliveryhero.io/image/fd-pk/Products/6527741.jpg?width=200,Lahore
l4776,l0,4776,0,l,Cray Wings Fried Burger,Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/6527743.jpg?width=200,Lahore
l4777,l0,4777,0,l,Cray Wings Fried Chicken Burger,Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/6529932.jpg?width=200,Lahore
l4778,l0,4778,0,l,Cauli Wings (Vegetarian),from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/6527077.jpg?width=200,Lahore
l4779,l0,4779,0,l,Original Bone-In,from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/6180638.jpg?width=200,Lahore
l4780,l0,4780,0,l,House Fries,Rs. 150,https://images.deliveryhero.io/image/fd-pk/Products/6180642.jpg?width=200,Lahore
l4781,l0,4781,0,l,Dehydrated Ranch Dip,Rs. 55,https://images.deliveryhero.io/image/fd-pk/Products/6180654.jpg?width=200,Lahore
l4782,l0,4782,0,l,Extra Sauce (Any Sauce),Rs. 55,https://images.deliveryhero.io/image/fd-pk/Products/6180814.jpg?width=200,Lahore
l4783,l1,4783,1,l,Junooni Mutton Karahi,"from Rs. 1,695",https://images.deliveryhero.io/image/fd-pk/Products/7141726.jpg?width=200,Lahore
l4784,l1,4784,1,l,Punjabi Palak Gosht,"Rs. 1,195",https://images.deliveryhero.io/image/fd-pk/Products/7141728.jpg?width=200,Lahore
l4785,l1,4785,1,l,Grilled Fish,"Rs. 1,425",https://images.deliveryhero.io/image/fd-pk/Products/7141711.jpg?width=200,Lahore
l4786,l1,4786,1,l,Fish Curry Masala,"Rs. 1,495",https://images.deliveryhero.io/image/fd-pk/Products/7141771.jpg?width=200,Lahore
