reviewID,restaurantID,reviewNumber,linkNumber,cityCode,reviewBy,reviewRating,reviewAt,reviewDescription,city
l2546,l0,2546,0,l,Shahbaaz,3/5 Stars,19-07-21,Burger was all over the place.. hardly any chicken,Lahore
l2547,l0,2547,0,l,Shamroon,5/5 Stars,19-06-21,They don’t provide ketchup and sauces.,Lahore
l2548,l0,2548,0,l,Shafi,1/5 Stars,11-06-21,I didn’t get one item I ordered,Lahore
l2549,l0,2549,0,l,Ahmed,5/5 Stars,08-06-21,Amazing sauce and great fries I recomend the house fries they were fire,Lahore
l2550,l2,2550,2,l,Nadir,1/5 Stars,12-09-21,Worst Experience. Oily Burger and Poor quality.,Lahore
l2551,l2,2551,2,l,Tanveer,3/5 Stars,09-09-21,"It was OK 
I was expecting more",Lahore
l2552,l2,2552,2,l,Aqeel,5/5 Stars,07-09-21,Awesome 👍,Lahore
l2553,l2,2553,2,l,Faiza,5/5 Stars,05-09-21,Fresh & hygienic. Love to order again. Recmanded,Lahore
l2554,l2,2554,2,l,Ashraf,5/5 Stars,28-08-21,Fabulous packing as well as taste. Good experience. Recommend,Lahore
l2555,l2,2555,2,l,Aqeel,5/5 Stars,27-08-21,Awesome. I never expected that type of quality from a home kitchen. Zinger burger qality is wonderful even better than kfc. I love that and of course order again & again.. Keep it up.,Lahore
l2556,l2,2556,2,l,Mohammad,5/5 Stars,27-08-21,"Tremendous, Remarkable, Fabulous, incredible, marvelous. About everything quality, quantity, packing.",Lahore
l2557,l2,2557,2,l,Faaiza,5/5 Stars,26-08-21,I have ordered from here a bunch of time and it has been a very good experience every time. Keep up the good work.,Lahore
l2558,l2,2558,2,l,Mohammad,5/5 Stars,24-08-21,"Evertime when I order within kitchen. I always satisfied with quality, quantity and ofcourse packing. Highly recommended❤️❤️❤️",Lahore
l2559,l2,2559,2,l,Ali,5/5 Stars,22-08-21,"It was so awesome. I liked the packing freshness 
The taste of lemo pani was very awesomee very awesomee",Lahore
l2560,l2,2560,2,l,Tayyaba,5/5 Stars,22-08-21,Good,Lahore
l2561,l2,2561,2,l,UsmanMehmood,4/5 Stars,06-08-21,Fine,Lahore
l2562,l2,2562,2,l,Bilal,3/5 Stars,06-08-21,Ordered anda tikki and chapati. Chapati was amazing. Anda tikki was a bit spicy. You should provide it with podina raita as well to balance the spice,Lahore
l2563,l2,2563,2,l,Maheen,4/5 Stars,05-08-21,"Nicely packaged food , great quality",Lahore
l2564,l2,2564,2,l,Mahi,5/5 Stars,02-08-21,"Amazing, fantastic... Fresh ang hygenic... Good in taste... Packaging was appreciatable.
Highly recommended",Lahore
l2565,l2,2565,2,l,Coal,4/5 Stars,02-08-21,Mayo Sandwich was ok with too much mayo and definitely overpriced,Lahore
l2566,l2,2566,2,l,Asfandyar,5/5 Stars,16-07-21,Was not expecting this great quality from a home based kitchen.,Lahore
l2567,l2,2567,2,l,Muhammad,5/5 Stars,15-07-21,"Food was great, must appreciated.",Lahore
l2568,l2,2568,2,l,Mohammad,5/5 Stars,07-07-21,This is the amazing experience with the kitchen. Excellent taste with excellent packing. A shawarma full with chicken cubes. Highly recommended this kitchen.,Lahore
l2569,l2,2569,2,l,Hamza,5/5 Stars,07-07-21,Pretty good,Lahore
l2570,l2,2570,2,l,Aaisha,5/5 Stars,07-07-21,Seekh kabab were too soft and tasty alongwith the mint chutney served complimentary,Lahore
l2571,l2,2571,2,l,Aleaf,1/5 Stars,07-07-21,"Shami burger was pathetic. Masala fries were soggy, raw and dripping with smelly oil. I guess this kitchen bought used oil from market therefore offering discounts. Avoid at all costs.",Lahore
l2572,l3,2572,3,l,Umair,1/5 Stars,12-09-21,Packing was very very veryyyyyy bad,Lahore
l2573,l3,2573,3,l,Umair,5/5 Stars,07-09-21,The best home made meals,Lahore
l2574,l3,2574,3,l,Imran,2/5 Stars,06-09-21,"salad as advertised was not included. And considering that for PKR 90-`100 u can get much better quality Chapal kababs it was a bit over priced as kababs were of lesser quality, taste & size.",Lahore
l2575,l3,2575,3,l,Nazish,4/5 Stars,05-09-21,Arvi sabzi was very good,Lahore
l2576,l3,2576,3,l,Shahnaaz,3/5 Stars,03-09-21,Alhamdulila plz increase quantity in this price roti is good and expensive otherwise fine alhamdulila,Lahore
l2577,l3,2577,3,l,Hamza,1/5 Stars,02-09-21,It was a disappointing experience. The food was not even average it was below average. The onions in anda tikki were half cooked and the chapli kababs were filled up with flour. I'm gonna rate the order in jst one word. Tastelesssss,Lahore
l2578,l3,2578,3,l,Ijaz,5/5 Stars,01-09-21,Nice,Lahore
l2579,l3,2579,3,l,Aɗŋaŋ,2/5 Stars,01-09-21,Food was not good. Order chicken kebab but quality is not good.,Lahore
l2580,l3,2580,3,l,Shahbaz,1/5 Stars,31-08-21,Ghee wali roti was dry and worst than a simple roti. Chapli kabab deal is pathetic. It doesn’t even taste anything like chapli kabab. Quantity of anda shami bhujia is very small,Lahore
l2581,l3,2581,3,l,Abdullah,5/5 Stars,31-08-21,"Delicious churi, amazing thank you Mommy's kitchen.",Lahore
l2582,l3,2582,3,l,Nabeel,5/5 Stars,30-08-21,Yes it was awesome and fantastic food in a town highly recommend for everyone.,Lahore
l2583,l3,2583,3,l,Arfa,2/5 Stars,28-08-21,"It was not cooked completely
Or ghee kum laga hwa tha sookhy sookhy pratha tha",Lahore
l2584,l3,2584,3,l,Umair,5/5 Stars,28-08-21,Awesome as usual,Lahore
l2585,l3,2585,3,l,Zaman,4/5 Stars,28-08-21,Good,Lahore
l2586,l3,2586,3,l,Saman,5/5 Stars,28-08-21,The food is beyond expectations . I have no words to say . . Amazing delicious food.  Nd the achaar she sent ufh amazing,Lahore
l2587,l3,2587,3,l,Fahad,5/5 Stars,28-08-21,Consistently good.,Lahore
l2588,l3,2588,3,l,MAkram,2/5 Stars,24-08-21,Not very good even the roti,Lahore
l2589,l3,2589,3,l,Syed,5/5 Stars,22-08-21,"Excellent daal chawal, raita. Shami kabaab was daal, alu ka Shami kabaab and a little on the spicier side.",Lahore
l2590,l3,2590,3,l,Fahad,5/5 Stars,21-08-21,Bhindi was perfect. 👌🏻,Lahore
l2591,l3,2591,3,l,Faisal,5/5 Stars,17-08-21,Behtreen taste,Lahore
l2592,l3,2592,3,l,Fahad,5/5 Stars,17-08-21,Best home cooked option on foodpanda by far! 👌🏻,Lahore
l2593,l3,2593,3,l,Fahad,5/5 Stars,14-08-21,One of the best home cook meal options. Olive oil parathas are perfect.,Lahore
l2594,l3,2594,3,l,Mahajabeen,5/5 Stars,12-08-21,Best home food 👍🏻,Lahore
l2595,l3,2595,3,l,Mashhud,2/5 Stars,09-08-21,Wasn't good.,Lahore
