foodID,restaurantID,foodNumber,linkNumber,cityCode,foodName,foodPrice,foodImage,city
r5337,r1,5337,1,r,Real Deal,Rs. 420,https://images.deliveryhero.io/image/fd-pk/Products/5726140.jpg?width=200,Rawalpindi
r5338,r1,5338,1,r,Chicken Sizzling Pasta,Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726342.jpg?width=200,Rawalpindi
r5339,r1,5339,1,r,BBQ Burger,Rs. 220,https://images.deliveryhero.io/image/fd-pk/Products/5726319.jpg?width=200,Rawalpindi
r5340,r1,5340,1,r,Tikka Paratha Roll,Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/5726350.jpg?width=200,Rawalpindi
r5341,r1,5341,1,r,Crispy Shawarma,Rs. 150,https://images.deliveryhero.io/image/fd-pk/Products/5726345.jpg?width=200,Rawalpindi
r5342,r1,5342,1,r,French Fries,from Rs. 100,https://images.deliveryhero.io/image/fd-pk/Products/5726416.jpg?width=200,Rawalpindi
r5343,r1,5343,1,r,Double Treat Deal,"Rs. 2,300",https://images.deliveryhero.io/image/fd-pk/Products/5726147.jpg?width=200,Rawalpindi
r5344,r1,5344,1,r,Big Deal,"Rs. 1,850",https://images.deliveryhero.io/image/fd-pk/Products/5726146.jpg?width=200,Rawalpindi
r5345,r1,5345,1,r,Saving Offer Deal,"Rs. 1,200",https://images.deliveryhero.io/image/fd-pk/Products/5726149.jpg?width=200,Rawalpindi
r5346,r1,5346,1,r,Hot Offer Deal,"Rs. 1,000",https://images.deliveryhero.io/image/fd-pk/Products/5726143.jpg?width=200,Rawalpindi
r5347,r1,5347,1,r,Diamond Deal,Rs. 370,https://images.deliveryhero.io/image/fd-pk/Products/5726142.jpg?width=200,Rawalpindi
r5348,r1,5348,1,r,Economy Deal,Rs. 370,https://images.deliveryhero.io/image/fd-pk/Products/5726145.jpg?width=200,Rawalpindi
r5349,r1,5349,1,r,Real Deal,Rs. 420,https://images.deliveryhero.io/image/fd-pk/Products/5726140.jpg?width=200,Rawalpindi
r5350,r1,5350,1,r,Chicken BBQ Pizza,from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726188.jpg?width=200,Rawalpindi
r5351,r1,5351,1,r,Chicken Fajita Pizza,from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726193.jpg?width=200,Rawalpindi
r5352,r1,5352,1,r,Chicken Mexican Pizza,from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726190.jpg?width=200,Rawalpindi
r5353,r1,5353,1,r,Chicken Shawarma Pizza,from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726194.jpg?width=200,Rawalpindi
r5354,r1,5354,1,r,Chicken Supreme Pizza,from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726189.jpg?width=200,Rawalpindi
r5355,r1,5355,1,r,Chicken Tandoori Pizza,from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726196.jpg?width=200,Rawalpindi
r5356,r1,5356,1,r,Chicken Tikka Pizza,from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726187.jpg?width=200,Rawalpindi
r5357,r1,5357,1,r,Hot & Spicy Pizza,from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726195.jpg?width=200,Rawalpindi
r5358,r1,5358,1,r,Malai Boti Pizza,from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726192.jpg?width=200,Rawalpindi
r5359,r1,5359,1,r,Veggie Lover Pizza,from Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726191.jpg?width=200,Rawalpindi
r5360,r1,5360,1,r,Chicken Sizzling Pasta,Rs. 450,https://images.deliveryhero.io/image/fd-pk/Products/5726342.jpg?width=200,Rawalpindi
r5361,r1,5361,1,r,Chicken Cheese Stick,Rs. 350,https://images.deliveryhero.io/image/fd-pk/Products/5726341.jpg?width=200,Rawalpindi
r5362,r1,5362,1,r,Grand Sizzler Burger,Rs. 400,https://images.deliveryhero.io/image/fd-pk/Products/5726320.jpg?width=200,Rawalpindi
r5363,r1,5363,1,r,Grilled Sizzler Burger,Rs. 290,https://images.deliveryhero.io/image/fd-pk/Products/5726322.jpg?width=200,Rawalpindi
r5364,r1,5364,1,r,Sizzling Burger,Rs. 270,https://images.deliveryhero.io/image/fd-pk/Products/5726317.jpg?width=200,Rawalpindi
r5365,r1,5365,1,r,BBQ Burger,Rs. 220,https://images.deliveryhero.io/image/fd-pk/Products/5726319.jpg?width=200,Rawalpindi
