restaurantID,linkNumber,cityCode,restaurantName,restaurantRating,openingTime,closingTime,restaurantAddress,latitude,longitude,restaurantImage,city
r1,1,r,Da Sizzling Bites,4.1/5 Stars,12:00 PM, 11:00 pm,"Tulsa Rd, Lalazar, 46000 Rawalpindi",33.5674368,73.0511251,https://images.deliveryhero.io/image/fd-pk/LH/bsjw-hero.jpg,Rawalpindi
r2,2,r,Haleem House and Karachi Biryani,3.8/5 Stars,11:45 AM, 11:30 pm,"Main commercial market opposite of Hot & Spicy Restaurant ChaklalaØŒ Chaklala Scheme 3 Chaklala Housing Scheme 3, Rawalpindi, Punjab 46000, Pakistan, 46000 Rawalpindi",33.5850307,73.0899903,https://images.deliveryhero.io/image/fd-pk/LH/idj9-hero.jpg,Rawalpindi
r3,3,r,SMACK 21 PIZZA,4/5 Stars,10:00 AM, 11:59 pm,"Shop No 6, First floor, Panorama Center, Lalkurti, 46000 Rawalpindi",33.5817404,73.0600664,https://images.deliveryhero.io/image/fd-pk/LH/z6je-hero.jpg,Rawalpindi
r4,4,r,Mexican Chinese Corner,3.7/5 Stars,1:00 PM, 11:59 pm,"Bilal Mughal plaza Range Road near Nawaz lane Rawalpindi, 46000 Rawalpindi",33.5983137,73.0173072,https://images.deliveryhero.io/image/fd-pk/LH/d2as-hero.jpg,Rawalpindi
r6,6,r,Wania's Cuisine,4.3/5 Stars,9:00 AM, 11:59 pm,"HOUSE#284, ST 25, BLOCK D PWD, 46000 Rawalpindi",33.6138371,73.0084266,https://images.deliveryhero.io/image/fd-pk/LH/se4d-hero.jpg,Rawalpindi
r7,7,r,BBQ King & Refreshments,3.6/5 Stars,11:00 AM, 11:59 pm,"BBQ King and Refreshments, 60-A, Bank Road, Saddar, 46000 Rawalpindi",33.59474475,73.05404055,https://images.deliveryhero.io/image/fd-pk/LH/nqw1-hero.jpg,Rawalpindi
r8,8,r,Italian Pizza - Askari XI,3.9/5 Stars,12:15 PM, 11:59 pm,"Log Welfare, Askari 11, Near Qasim Market,Rawalpindi, 46000 Rawalpindi",33.5978471,73.02960783,https://images.deliveryhero.io/image/fd-pk/LH/z9tr-hero.jpg,Rawalpindi
r9,9,r,AJ's (The Premium Cuisine) - Jinnah Park,3.8/5 Stars,12:00 PM, 11:59 pm,"Jinnah Park, Near Kacheri, Rawalpindi, 46000 Rawalpindi",33.586027,73.073613,https://images.deliveryhero.io/image/fd-pk/LH/nhqb-hero.jpg,Rawalpindi
r10,10,r,Aapi's Kitchen,1/5 Stars,1:00 PM, 11:59 pm,"house# 1291/1, street #. 15, Abbas street, ShalleyValley, Rawalpindi, 46000 Rawalpindi",33.5947192,73.0135695,https://images.deliveryhero.io/image/fd-pk/LH/thjr-hero.jpg,Rawalpindi
r11,11,r,Fatima's Kitchen,4.2/5 Stars,10:00 AM, 11:59 pm,"House No CB-1265 Fawaz Lane, Al Farooq Street, Shalley Valley Saddar Rawalpindi, 44000 Rawalpindi",33.594718,73.015266,https://images.deliveryhero.io/image/fd-pk/LH/w0ya-hero.jpg,Rawalpindi
