reviewID,restaurantID,reviewNumber,linkNumber,cityCode,reviewBy,reviewRating,reviewAt,reviewDescription,city
r2885,r1,2885,1,r,Angela,5/5 Stars,09-09-21,Nice taste,Rawalpindi
r2886,r1,2886,1,r,Abdul,5/5 Stars,06-09-21,Very tasty but take too much time to deliver,Rawalpindi
r2887,r1,2887,1,r,Momina,4/5 Stars,24-08-21,Taste of.shuwarwa and roll paratha was good,Rawalpindi
r2888,r1,2888,1,r,Khawar,5/5 Stars,24-08-21,"Great taste as always, awesome. Everything is tasty and we'll cooked. Now I'm a regular customer of Sizzling bites and had left other restaurants..Recommended 👍❤️",Rawalpindi
r2889,r1,2889,1,r,Ahsen,1/5 Stars,13-08-21,"The was a simple patty burger instead of a grilled burger and fries were also missing
Whereas they have mentioned in the deal
Entirely Disappointing
Packaging was also very poor",Rawalpindi
r2890,r1,2890,1,r,muhammad,1/5 Stars,08-08-21,"I dont think what the arabic shawarma and oven baked wings mean...
Paratha me salad was arabic shawarma and ganday oil me fry kiye we wings were oven baked wings...
Its Haram earnigs when you mislead buyers, just so you know 🙂",Rawalpindi
r2891,r1,2891,1,r,Amir,5/5 Stars,05-08-21,Excellent,Rawalpindi
r2892,r1,2892,1,r,Hira,4/5 Stars,17-07-21,It was good but the pizza was not as good as we have when we ordered in the restaurant,Rawalpindi
r2893,r1,2893,1,r,Muneeza,5/5 Stars,10-07-21,Pizza was good...shawarma was even better,Rawalpindi
r2894,r1,2894,1,r,Syeda,1/5 Stars,08-07-21,fine,Rawalpindi
r2895,r1,2895,1,r,Aneeq,5/5 Stars,28-06-21,Bohat ala taste ka crunch roll pratha tha,Rawalpindi
r2896,r1,2896,1,r,Aisha,1/5 Stars,25-06-21,Good,Rawalpindi
r2897,r1,2897,1,r,Eqra,5/5 Stars,24-06-21,Great,Rawalpindi
r2898,r1,2898,1,r,Ehteisham,1/5 Stars,23-06-21,Order didn't delivered to me. 👎👎👎. It was my first experience. I will never try tgis again,Rawalpindi
r2899,r1,2899,1,r,Javed,2/5 Stars,11-06-21,Too little,Rawalpindi
r2900,r1,2900,1,r,Aisha,1/5 Stars,08-06-21,It was good,Rawalpindi
r2901,r1,2901,1,r,Khawar,5/5 Stars,04-06-21,"Great and best taste as always, quantity and quality is amazing..now I'm a regular customer of this restaurant. Highly Recommended. :)",Rawalpindi
r2902,r1,2902,1,r,Azan,4/5 Stars,30-05-21,Perfect,Rawalpindi
r2903,r1,2903,1,r,Haseeb,1/5 Stars,29-05-21,Zinger burger was old and chicken was pink,Rawalpindi
r2904,r1,2904,1,r,MalikEhnan,4/5 Stars,23-05-21,Good experience. The taste was awesome. But they don't have kachup.,Rawalpindi
r2905,r1,2905,1,r,MalikEhnan,4/5 Stars,16-05-21,Overall good experience. But I paid for extra topping but its not found.,Rawalpindi
r2906,r1,2906,1,r,Khawar,3/5 Stars,09-05-21,Taste was good but there was no seekh kabab as mentioned in Bbq pizza..that was not good thing. Whatever you mention you should add that thing..,Rawalpindi
r2907,r1,2907,1,r,Khawar,5/5 Stars,07-05-21,Great as always.,Rawalpindi
r2908,r1,2908,1,r,Saad,5/5 Stars,05-05-21,"Very good experience 
Like pizza",Rawalpindi
r2909,r1,2909,1,r,MuhanmadSaad,1/5 Stars,05-05-21,Buy kns from market punting burger done .bekar way too expensive,Rawalpindi
r2910,r1,2910,1,r,Shahbaz,5/5 Stars,04-05-21,Very good taste and everything thing very good,Rawalpindi
r2911,r1,2911,1,r,Khawar,5/5 Stars,27-04-21,I have ordered many times from this restaurant and everytime it was amazing and Great. Taste is too good. Highly recommended to others..,Rawalpindi
r2912,r1,2912,1,r,AhmadAli,3/5 Stars,10-04-21,Simple zinger burger. I order coke but send the pepsi and no mayo with fires I specifically requested,Rawalpindi
r2913,r1,2913,1,r,Malik,1/5 Stars,03-03-21,Sizzling food was not too good,Rawalpindi
r2914,r1,2914,1,r,Juriada,5/5 Stars,08-02-21,Best taste soo far,Rawalpindi
r2915,r2,2915,2,r,Iqra,2/5 Stars,01-09-21,Ap log se jb order kro jalay howay chawal hotay aur neechay lgy howay hotay plz taza bnay howay dia krein..,Rawalpindi
r2916,r2,2916,2,r,Muhammad,5/5 Stars,30-08-21,I like taste of haleem but nan ka bjie pateeri rooti nt good.,Rawalpindi
r2917,r2,2917,2,r,Dr,2/5 Stars,24-08-21,Caused food poisoning,Rawalpindi
r2918,r2,2918,2,r,Aanis,1/5 Stars,14-08-21,Quality was really bad mention breast piece with pulao but they sent something else... Food was not fresh... Total wastage of money... I don't like it at all.,Rawalpindi
r2919,r2,2919,2,r,Raheel,1/5 Stars,14-08-21,Pathetic food and they have actually bluffed the masses with the name Haleem House. The food is not value to money so 0 out of 10.,Rawalpindi
r2920,r2,2920,2,r,sara,1/5 Stars,10-08-21,"Very bad food, Khana kha kr Dil kharab ho gya hai mera, Tasteless Biryani Haleem Aur Thandha khana tha bilkul
I had very bad experience with this restaurant for the second time",Rawalpindi
r2921,r2,2921,2,r,Muzammil,1/5 Stars,30-07-21,Bc loot te hain ajj bhi Maine briyani ke sath sprite mangwaye nai mile mujhe pure paise leye aur pichle 3 baar bhi aesa hua hai mere sath besharam log hain haram kha ke maza ata hai inhe kuton ko,Rawalpindi
r2922,r2,2922,2,r,Adeel,5/5 Stars,29-06-21,Awesome Taste,Rawalpindi
r2923,r2,2923,2,r,MrsAbdullah,3/5 Stars,23-06-21,Taste was only ok,Rawalpindi
r2924,r2,2924,2,r,Muzammil,1/5 Stars,16-06-21,Bhai na meri coldrink aye na chicken piece khud he le liya hoga piece Chuteye log scammers,Rawalpindi
r2925,r2,2925,2,r,Muzammil,2/5 Stars,10-06-21,No care about packaging,Rawalpindi
r2926,r2,2926,2,r,Muhammad,2/5 Stars,07-06-21,"Itna fazool pulaoo ajj tak main na nhin khyaa basi kbab , boiled chicken :-(",Rawalpindi
r2927,r2,2927,2,r,Komal,1/5 Stars,02-06-21,Pathetic quality pulao n kab were also stale,Rawalpindi
r2928,r2,2928,2,r,emma,3/5 Stars,03-04-21,Quantity was not upto the expectation,Rawalpindi
r2929,r2,2929,2,r,Fahad,1/5 Stars,02-04-21,Food panda is worst app there is,Rawalpindi
r2930,r2,2930,2,r,Ali,4/5 Stars,02-04-21,Chicken piece was missing,Rawalpindi
r2931,r2,2931,2,r,MAliRaza,3/5 Stars,27-03-21,A bit too salty. Taste was good,Rawalpindi
r2932,r2,2932,2,r,اشمل,1/5 Stars,14-03-21,"Rider was good but food quality was very bad ,tasteless food",Rawalpindi
r2933,r2,2933,2,r,MAliRaza,5/5 Stars,03-03-21,Good food,Rawalpindi
r2934,r2,2934,2,r,Zayad,1/5 Stars,26-02-21,Salt was more than need in the Haleem,Rawalpindi
r2935,r2,2935,2,r,MohammadMujhtaba,5/5 Stars,22-02-21,Awesome biryani,Rawalpindi
r2936,r3,2936,3,r,mohammad,1/5 Stars,13-09-21,I want my money back.The food quality and the packaging was not up to the standards.I am really disappointed.,Rawalpindi
r2937,r3,2937,3,r,Hira,5/5 Stars,13-09-21,V nice,Rawalpindi
r2938,r3,2938,3,r,mohammad,5/5 Stars,21-08-21,Very good as always.,Rawalpindi
r2939,r3,2939,3,r,Nashia,4/5 Stars,27-07-21,Received the wrong order,Rawalpindi
r2940,r3,2940,3,r,Isfahan,4/5 Stars,25-07-21,Okayish,Rawalpindi
