linkNumber,reviewBy,reviewRating,reviewAt,reviewDescription,city
0,Winfinity,3/5 Stars,07/10/2021,Mostly pratha. Less alu.,Islamabad
0,Iqra,2/5 Stars,02/10/2021,pratha was empty. Like there was so small amount of allo in the center only.,Islamabad
0,Asim,3/5 Stars,27/09/2021,Aaloo prathas were not fully baked.,Islamabad
0,Faizan,5/5 Stars,24/09/2021,Very tastyyy,Islamabad
0,MuhammadAhmed,1/5 Stars,23/09/2021,Below average.. It was very oily.,Islamabad
0,Asim,3/5 Stars,21/09/2021,Not bad.,Islamabad
0,Nafees,5/5 Stars,14/09/2021,Was very good . Nice paking,Islamabad
0,Rimsha,5/5 Stars,29/08/2021,Quantity was very low . Or gravy was missing it was full with oil,Islamabad
0,Maryam,5/5 Stars,29/08/2021,Fresh & taste,Islamabad
0,Abdullah,5/5 Stars,21/08/2021,It was perfect.,Islamabad
0,Ahmer,1/5 Stars,30/07/2021,pathetic taste,Islamabad
0,Mian,5/5 Stars,24/07/2021,Awesome,Islamabad
0,Shahryar,5/5 Stars,18/07/2021,Best,Islamabad
0,Shahryar,5/5 Stars,09/07/2021,Very good,Islamabad
0,Hamid,3/5 Stars,08/07/2021,Food wasn’t fresh yesterday,Islamabad
0,malik,1/5 Stars,30/06/2021,"It was a special biryani with potato.
There is no potato and quantity like child's meal. Wasted....",Islamabad
0,malik,3/5 Stars,25/06/2021,Fries are totally foiled not cooked well and very very bad taste. And the other side biryani was good and raita is also very bad,Islamabad
0,Jaleel,3/5 Stars,17/06/2021,"Really disappointed, there was no potato as shown image, and taste was also not so good.",Islamabad
0,sikander,3/5 Stars,16/06/2021,Plain no taste in daal or chawal,Islamabad
0,Arsalan,4/5 Stars,14/06/2021,"Sabzi was not good,daal was good",Islamabad
0,Hamza,5/5 Stars,12/06/2021,Daal was a little less then last time,Islamabad
0,Shahryar,5/5 Stars,10/06/2021,Nice fresh chapati,Islamabad
0,Shahryar,5/5 Stars,09/06/2021,Very nice,Islamabad
0,Fatima,3/5 Stars,07/06/2021,Chicken karai was really not good. Masala was burnt i think. It was all black masala also fries were fried in cold oil i guess. Sb chipkaay huay thy fry b sae nae huay thy,Islamabad
0,Sohail,1/5 Stars,02/06/2021,"I got pulao instead of biryani, not professional",Islamabad
0,Fariha,1/5 Stars,02/06/2021,Rice were not boiled well. And daal was soooooo watery.,Islamabad
0,Dj,1/5 Stars,02/06/2021,Not much good taste,Islamabad
0,Hammad,5/5 Stars,30/05/2021,10/10 for daal chawal,Islamabad
0,Usaman,5/5 Stars,30/05/2021,Very tasty good job lajawab anda,Islamabad
0,Waqas,5/5 Stars,30/05/2021,Nice biryani.,Islamabad
0,asad,1/5 Stars,30/05/2021,Ordered biryani deal but it was pulao and honestly it was inedible. The deal also had a drink but i never received it. If the items are not available then it’s better to cancel the order rather than just send whatever you like. The paratha and omelette was nice might order again but the pulao was so bad I wish I didn’t waste my money here.,Islamabad
0,Faisal,2/5 Stars,29/05/2021,Salad was fresh but biryani was not even edible.,Islamabad
1,Fizza,5/5 Stars,01/10/2021,I ordered pastries and they were so soft and delicious in taste . Will order again.,Islamabad
1,Sahar,1/5 Stars,18/09/2021,The order came late and pizza was very oily.,Islamabad
